"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,206.3571,0.0019695,37.7177,3.1654,37.8503,
1,208.5023,0.0058835,35.3595,0.014302,35.3596,
2,206.9313,0.0093938,35.2098,5.0415e-05,35.2098,
3,206.9273,0.012928,35.2095,6.3598e-10,35.2095,
4,206.9273,0.016302,35.2095,6.6613e-16,35.2095,
5,206.9273,0.020077,35.2095,4.4409e-16,35.2095,
6,206.9273,0.024853,35.2095,2.2204e-16,35.2095,
7,206.9273,0.029484,35.2095,3.3307e-16,35.2095,
8,206.9273,0.032689,35.2095,2.2204e-16,35.2095,
9,206.9273,0.035735,35.2095,2.2204e-16,35.2095,
10,206.9273,0.039107,35.2095,4.4409e-16,35.2095,
11,206.9273,0.04286,35.2095,2.2204e-16,35.2095,
12,206.9273,0.045984,35.2095,2.2204e-16,35.2095,
13,206.9273,0.049092,35.2095,2.2204e-16,35.2095,
14,206.9273,0.052897,35.2095,6.6613e-16,35.2095,
15,206.9273,0.057311,35.2095,3.3307e-16,35.2095,
16,206.9273,0.061704,35.2095,4.4409e-16,35.2095,
17,206.9273,0.066044,35.2095,2.2204e-16,35.2095,
18,206.9273,0.070061,35.2095,2.2204e-16,35.2095,
19,206.9273,0.07347,35.2095,4.4409e-16,35.2095,
20,206.9273,0.076813,35.2095,3.3307e-16,35.2095,
21,206.9273,0.080534,35.2095,2.2204e-16,35.2095,
22,206.9273,0.085177,35.2095,7.7716e-16,35.2095,
23,206.9273,0.089099,35.2095,4.4409e-16,35.2095,
24,206.9273,0.092749,35.2095,4.4409e-16,35.2095,
25,206.9273,0.096131,35.2095,2.2204e-16,35.2095,
26,206.9273,0.099452,35.2095,2.2204e-16,35.2095,
27,206.9273,0.10272,35.2095,2.2204e-16,35.2095,
28,206.9273,0.10608,35.2095,4.4409e-16,35.2095,
29,206.9273,0.10917,35.2095,3.3307e-16,35.2095,
30,206.9273,0.11253,35.2095,2.2204e-16,35.2095,
31,206.9273,0.11599,35.2095,2.2204e-16,35.2095,
32,206.9273,0.11937,35.2095,2.2204e-16,35.2095,
33,206.9273,0.12313,35.2095,2.2204e-16,35.2095,
34,206.9273,0.12681,35.2095,2.2204e-16,35.2095,
35,206.9273,0.13023,35.2095,2.2204e-16,35.2095,
36,206.9273,0.13368,35.2095,2.2204e-16,35.2095,
37,206.9273,0.13698,35.2095,2.2204e-16,35.2095,
38,206.9273,0.14056,35.2095,2.2204e-16,35.2095,
39,206.9273,0.14388,35.2095,2.2204e-16,35.2095,
40,206.9273,0.14709,35.2095,4.4409e-16,35.2095,
41,206.9273,0.15034,35.2095,2.2204e-16,35.2095,
42,206.9273,0.1539,35.2095,2.2204e-16,35.2095,
43,206.9273,0.15729,35.2095,2.2204e-16,35.2095,
44,206.9273,0.16057,35.2095,3.3307e-16,35.2095,
45,206.9273,0.16395,35.2095,3.3307e-16,35.2095,
46,206.9273,0.16726,35.2095,3.3307e-16,35.2095,
47,206.9273,0.17117,35.2095,3.3307e-16,35.2095,
48,206.9273,0.17473,35.2095,3.3307e-16,35.2095,
49,206.9273,0.17817,35.2095,3.3307e-16,35.2095,
50,206.9273,0.1816,35.2095,2.2204e-16,35.2095,
51,206.9273,0.18512,35.2095,3.3307e-16,35.2095,
52,206.9273,0.18859,35.2095,2.2204e-16,35.2095,
53,206.9273,0.19199,35.2095,3.3307e-16,35.2095,
54,206.9273,0.19523,35.2095,2.2204e-16,35.2095,
55,206.9273,0.19828,35.2095,3.3307e-16,35.2095,
56,206.9273,0.20142,35.2095,2.2204e-16,35.2095,
57,206.9273,0.20466,35.2095,2.2204e-16,35.2095,
58,206.9273,0.20779,35.2095,3.3307e-16,35.2095,
59,206.9273,0.21122,35.2095,2.2204e-16,35.2095,
60,206.9273,0.21465,35.2095,4.4409e-16,35.2095,
61,206.9273,0.21775,35.2095,3.3307e-16,35.2095,
62,206.9273,0.22104,35.2095,2.2204e-16,35.2095,
63,206.9273,0.22412,35.2095,3.3307e-16,35.2095,
64,206.9273,0.22845,35.2095,2.2204e-16,35.2095,
65,206.9273,0.23285,35.2095,3.3307e-16,35.2095,
66,206.9273,0.23688,35.2095,2.2204e-16,35.2095,
67,206.9273,0.24027,35.2095,2.2204e-16,35.2095,
