,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.7128000000000002e-05,-3
1,0.0,0.0,0.0,2.7128000000000002e-05,-2
2,0.0,0.0,0.0,2.7128000000000002e-05,-1
3,1.4424,0.07514,0.9727399999999999,0.24836999999999998,0
4,1.4424,0.07514,0.9727399999999999,0.4065,1
5,1.5474,0.07514,1.5627,0.7178899999999999,2
6,1.5474,0.07514,3.4776,0.79561,3
7,1.5541,0.66227,3.6314,0.87141,4
8,1.5744,1.3798,3.7114,6.6322,5
9,1.7303,1.662,3.7863,6.7039,6
10,1.8733,1.7938,3.7863,6.7809,7
11,1.8733,1.9229,3.8188,7.9033,8
12,,,3.8804,40.6098,9
13,,,3.989,,10
14,,,4.138999999999999,,11
15,,,4.2903,,12
16,,,4.454,,13
