,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.791e-05,-3
1,0.0,0.0,0.0,2.791e-05,-2
2,0.0,0.0,0.0,2.791e-05,-1
3,0.16794,0.26850999999999997,0.15420999999999999,0.15843,0
4,0.34335,0.26850999999999997,0.15420999999999999,0.9056700000000001,1
5,0.55193,0.26850999999999997,0.26861999999999997,1.2069,2
6,0.87466,0.26850999999999997,0.52332,1.3669,3
7,1.4366,0.32038,0.52332,1.3669,4
8,1.8466,0.42626000000000003,0.65441,1.4422,5
9,2.1334,0.6914,0.77809,1.4422,6
10,2.3021,,,1.5196,7
11,2.3736,,,1.5196,8
12,,,,1.5196,9
13,,,,1.5196,10
