,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.9489000000000002e-05,-3
1,0.0,0.0,0.0,2.9489000000000002e-05,-2
2,1.2376,0.0,0.0,0.20793000000000003,-1
3,2.1684,0.044601999999999996,1.0518,0.6857,0
4,2.1684,0.044601999999999996,1.0518,0.9038,1
5,2.1684,0.044601999999999996,2.2439,1.781,2
6,2.2772,0.044601999999999996,2.4397,1.781,3
7,2.2772,0.081527,2.5355,1.9818,4
8,2.3169,0.1013,2.6111,1.9818,5
9,10.2062,0.11782000000000001,2.6111,19.0238,6
10,10.2062,0.14977000000000001,2.6917,19.2326,7
11,10.2062,0.17893,2.7538,19.2326,8
12,10.2062,0.19759000000000002,2.8229,19.2326,9
13,10.2148,0.23801,2.9621,,10
14,10.2843,0.31564000000000003,3.2389,,11
15,10.3625,0.40123000000000003,3.5286,,12
16,10.4506,0.49188000000000004,3.8367,,13
