"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,116.6545,46.8859,5.3994e-05,NaN,NaN,NaN,NaN,50.1232,50.1232,
1,109.4222,212.9971,0.056279,0.015625,0,3.7215,1,38.8571,38.8571,
2,109.5035,11.6326,0.092297,0.0625,0,0.26939,1,37.8492,37.8492,
3,88.0633,11.701,0.13804,1,0,2.4408,1,32.2879,32.2879,
4,77.5617,17.9239,0.27391,0.125,0,3.7322,1,0.92978,0.92978,
5,72.8145,112.3014,0.43838,0.0039063,0,1.3536,1,0.26287,0.26287,
6,72.6856,20.11,0.48834,0.0625,0,0.023287,1,0.25689,0.25689,
7,72.6816,225.8097,0.54768,7.6294e-06,0,0.00073254,1,0.2569,0.2569,
8,72.6734,355.8835,0.5888,6.1035e-05,0,0.0014835,1,0.25693,0.25693,
9,72.6728,3130.5884,0.6352,1.1921e-07,0,0.00010766,1,0.25693,0.25693,
