"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,99.9409,28.364,5.1729e-05,NaN,NaN,NaN,NaN,18.529,18.529,
1,81.0181,32.2966,0.19083,0.5,0,3.8785,1,3.8513,3.8513,
2,76.7493,261.5628,0.36456,0.00097656,0,1.2652,1,3.0171,3.0171,
3,75.2425,14.8246,0.39625,1,0,0.22559,1,1.0414,1.0414,
4,74.6306,17.3727,0.4304,0.03125,0,0.051718,1,1.0466,1.0466,
5,74.407,20.4883,0.46398,0.015625,0,0.023527,1,1.0406,1.0406,
6,74.1695,24.8019,0.49575,0.015625,0,0.02872,1,1.0406,1.0406,
7,74.1077,40.352,0.52882,0.0019531,0,0.0088795,1,1.0402,1.0402,
8,74.0315,61.0467,0.56462,0.0019531,0,0.011765,1,1.041,1.041,
9,74.0136,226.2078,0.60042,6.1035e-05,0,0.0029711,1,1.0412,1.0412,
10,74.0127,3443.5649,0.63773,5.9605e-08,0,0.00015388,1,1.0412,1.0412,
