"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,70.5592,7.4006e-05,NaN,NaN,NaN,NaN,NaN,22.2788,22.2788,
1,57.5571,0.049397,18.011,0.5,0,3.4127,1,18.253,18.253,
2,50.5423,0.082678,1.6481,0.5,0,1.4199,1,18.3957,18.3957,
3,43.3029,0.12826,4.4024,0.25,0,2.9671,1,2.8744,2.8744,
4,42.1258,0.23229,1.7774,0.0625,0,1.2459,1,3.5052,3.5052,
5,42.6035,0.27641,0.42385,1,0,0.42161,1,1.0948,1.0948,
6,42.6016,0.47004,0.0027341,7.4506e-09,0,0.0027341,1,1.0948,1.0948,
7,61.0711,0.55566,6.847,0.125,0,2.1158,1,0.87971,0.87971,
8,59.9039,0.59068,0.12955,1,0,0.12951,1,0.27344,0.27344,
9,59.8741,0.66631,1.1203,0.0625,0,0.9402,1,0.060806,0.060806,
10,60.2246,0.69669,0.041567,0.5,0,0.041565,1,0.058572,0.058572,
11,60.3296,0.79832,0.72169,0.00012207,0,0.66511,1,0.0056908,0.0056908,
12,60.1003,0.87887,0.50789,0.0078125,0,0.48767,1,0.0021624,0.0021624,
13,58.0165,0.9363,0.30575,6.1035e-05,0,0.30219,1,0.0013787,0.0013787,
14,57.9347,1.04,0.27552,0.00097656,0,0.27194,1,1.4649e-05,1.4649e-05,
15,57.9169,1.1332,0.094583,0.00012207,0,0.094387,1,4.0321e-07,4.0321e-07,
16,57.8934,1.357,0.034971,7.4506e-09,0,0.034963,1,7.7666e-10,7.7666e-10,
17,57.8919,2.5429,0.0066253,3.7253e-09,0,0.0066253,1,3.6e-11,3.6e-11,
18,57.8919,2.5753,1.6997e-07,4.7684e-07,0,1.6997e-07,1,3.6453e-11,3.6453e-11,
