"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,136.6879,47.8572,4.9463e-05,NaN,NaN,NaN,NaN,49.5154,49.5154,
1,91.8323,403.0904,0.067474,0.015625,0,7.8411,1,5.3313,5.3313,
2,91.4794,15.2797,0.10115,1,0,0.31616,1,1.7723,1.7723,
3,91.0039,16.8184,0.14275,0.0078125,0,0.049153,1,1.7752,1.7752,
4,90.6808,16.2844,0.17742,0.015625,0,0.040282,1,1.7701,1.7701,
5,90.5573,16.9351,0.21498,0.0039063,0,0.017376,1,1.7675,1.7675,
6,90.4575,17.0937,0.252,0.0039063,0,0.016095,1,1.7646,1.7646,
7,90.3525,17.494,0.28692,0.0039063,0,0.018755,1,1.7633,1.7633,
8,90.2986,18.1038,0.32287,0.0019531,0,0.011244,1,1.7619,1.7619,
9,90.2471,18.6033,0.35827,0.0019531,0,0.012175,1,1.761,1.761,
10,90.1924,19.4796,0.39739,0.0019531,0,0.014758,1,1.7613,1.7613,
11,90.1612,21.2924,0.43156,0.00097656,0,0.0102,1,1.7613,1.7613,
12,90.1445,23.6513,0.46657,0.00048828,0,0.0065082,1,1.7612,1.7612,
13,90.1356,26.4447,0.50336,0.00024414,0,0.003994,1,1.7611,1.7611,
14,90.1261,29.3287,0.54011,0.00024414,0,0.0046457,1,1.761,1.761,
15,90.1201,35.0459,0.57922,0.00012207,0,0.0032641,1,1.761,1.761,
16,90.1164,42.8239,0.6128,6.1035e-05,0,0.0021488,1,1.761,1.761,
17,90.1121,52.2951,0.64973,6.1035e-05,0,0.0027145,1,1.761,1.761,
18,90.1084,76.0717,0.68636,3.0518e-05,0,0.0024323,1,1.761,1.761,
19,90.1072,151.7877,0.72467,3.8147e-06,0,0.00083771,1,1.761,1.761,
20,90.1061,297.9122,0.79964,1.9073e-06,0,0.00081417,1,1.761,1.761,
21,90.1058,1717.6856,0.84954,2.9802e-08,0,0.00020378,1,1.761,1.761,
