"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,111.6102,26.0027,5.7392e-05,NaN,NaN,NaN,NaN,13.1183,13.1183,
1,87.4585,13.2565,0.17554,1,0,4.2336,1,14.6301,14.6301,
2,84.4576,17.9888,0.21059,0.0625,0,0.28005,1,14.8657,14.8657,
3,55.6459,10.3331,0.25962,1,0,2.536,1,11.6962,11.6962,
4,52.7723,8.6272,0.39624,0.125,0,0.92441,1,12.1845,12.1845,
5,51.2798,13.4225,0.44981,0.03125,0,0.72245,1,12.6135,12.6135,
6,50.5598,9.814,0.49169,0.03125,0,0.16008,1,12.5295,12.5295,
7,50.4488,27.1281,0.63576,0.00048828,0,0.087825,1,12.5471,12.5471,
8,49.8062,8.0737,0.67662,0.25,0,0.41179,1,12.1103,12.1103,
9,48.0629,12.2263,0.82482,0.03125,0,1.1796,1,11.9555,11.9555,
10,47.2252,6.7583,0.87002,0.125,0,0.27387,1,11.2854,11.2854,
11,50.0799,14.381,1.0255,0.03125,0,2.0673,1,0.38694,0.38694,
12,48.5048,140.4731,1.0717,0.0039063,0,0.70673,1,0.3713,0.3713,
13,48.5454,10.1404,1.1053,1,0,0.076535,1,0.093361,0.093361,
14,48.5028,68.2345,1.278,0.00024414,0,0.050548,1,0.093627,0.093627,
15,48.5722,111.0108,1.354,0.0019531,0,0.65443,1,0.028046,0.028046,
16,48.4237,14.9066,1.3829,1,0,0.02349,1,0.0070314,0.0070314,
17,48.1376,2998.2593,1.4624,7.6294e-06,0,0.24602,1,0.005681,0.005681,
18,47.9314,263043.6195,1.5659,2.3842e-07,0,0.49289,1,0.0020141,0.0020141,
19,47.8943,14.5115,1.6001,1,0,0.0094823,1,0.0015426,0.0015426,
20,47.8891,6.9561,1.632,0.125,0,0.0033956,1,0.0015078,0.0015078,
21,47.8861,83.1477,1.7144,0.00048828,0,0.16651,1,0.00095195,0.00095195,
22,47.9031,8.3929,1.7471,0.5,0,0.0040923,1,0.00075996,0.00075996,
23,47.7229,2241.8009,2.0245,1.5259e-05,0,0.24018,1,0.00028835,0.00028835,
24,47.7319,7.7278,2.0565,0.5,0,0.0021325,1,0.00022213,0.00022213,
25,47.7314,3666.1072,2.1437,5.9605e-08,0,0.00068494,1,0.00022213,0.00022213,
26,47.7306,89.3536,2.177,0.0039063,0,0.00018123,1,0.00022182,0.00022182,
