"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,82.4427,27.8261,5.9658e-05,NaN,NaN,NaN,NaN,15.5024,15.5024,
1,76.0108,119.0382,0.055698,0.00097656,0,2.1039,1,14.0228,14.0228,
2,76.4217,12.5725,0.097231,0.0625,0,0.16502,1,13.6663,13.6663,
3,73.5179,31.4084,0.22535,0.03125,0,3.4678,1,1.4594,1.4594,
4,65.5924,13.5319,0.28653,0.5,0,1.3221,1,1.0377,1.0377,
5,61.7018,33.5215,0.48924,0.015625,0,0.7899,1,1.2325,1.2325,
6,59.6746,11.5123,0.52489,0.5,0,0.20154,1,1.1273,1.1273,
7,58.4094,34.297,0.76512,0.0078125,0,0.95776,1,1.3044,1.3044,
8,57.8935,9.4347,0.79707,0.5,0,0.17096,1,1.0577,1.0577,
9,57.7737,26.8404,0.92216,0.0019531,0,0.16175,1,1.0687,1.0687,
10,57.9767,9.4599,0.9571,0.5,0,0.12399,1,0.7499,0.7499,
11,56.2871,15.9743,1.0147,0.25,0,1.5842,1,0.19186,0.19186,
12,54.6709,203.5941,1.3249,0.00048828,0,0.72449,1,0.047242,0.047242,
13,54.2448,423.8102,1.4177,0.00024414,0,0.83069,1,0.016309,0.016309,
14,53.7639,821.7632,1.5033,0.00048828,0,0.49721,1,0.00084557,0.00084557,
15,53.763,11.9361,1.5351,0.0625,0,0.0014838,1,0.00083331,0.00083331,
16,53.763,5.5986,1.5718,0.00097656,0,0.00015293,1,0.00083293,0.00083293,
