"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,79.5891,4.7198e-05,NaN,NaN,NaN,NaN,NaN,12.2901,12.2901,
1,64.9676,0.058088,12.9295,0.0625,0,3.5149,1,10.5497,10.5497,
2,52.8954,0.14544,9.2708,0.5,0,3.4842,1,9.4516,9.4516,
3,55.6543,0.17972,0.57763,1,0,0.57405,1,4.4497,4.4497,
4,51.6187,0.23031,2.9423,0.00097656,0,1.5939,1,2.7322,2.7322,
5,50.6769,0.26934,0.28879,1,0,0.28831,1,1.0787,1.0787,
6,49.7882,0.33356,1.1568,0.015625,0,0.93335,1,0.52913,0.52913,
7,48.9242,0.37334,0.13338,1,0,0.13333,1,0.22848,0.22848,
8,46.7457,0.44071,1.1828,0.00048828,0,0.97981,1,0.080502,0.080502,
9,47.0458,0.48311,0.041636,0.5,0,0.041634,1,0.063099,0.063099,
10,45.5271,0.55007,0.97309,1.9073e-06,0,0.84381,1,0.029265,0.029265,
11,44.2888,0.61697,0.55035,0.0019531,0,0.51835,1,0.0050095,0.0050095,
12,44.2528,0.66744,0.011388,1,0,0.011388,1,0.00165,0.00165,
13,43.8458,0.74944,0.2837,0.0019531,0,0.27996,1,4.6151e-06,4.6151e-06,
14,43.7652,0.84019,0.065611,2.9802e-08,0,0.065566,1,4.9136e-07,4.9136e-07,
15,43.7599,1.2416,0.033295,1.8626e-09,0,0.033289,1,2.2541e-08,2.2541e-08,
16,43.7598,1.3295,6.0385e-06,0.03125,0,6.0385e-06,-6,2.2299e-08,2.2299e-08,
