"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,74.7972,4.682e-05,NaN,NaN,NaN,NaN,NaN,9.0318,9.0318,
1,59.9152,0.07455,6.2721,0.0019531,0,2.4238,1,4.0509,4.0509,
2,55.2066,0.15586,2.7668,0.0019531,0,1.5508,1,1.66,1.66,
3,59.3328,0.24118,10.2325,1,0,2.5684,1,0.2928,0.2928,
4,59.4744,0.2732,0.076841,1,0,0.076833,1,0.081315,0.081315,
5,58.1658,0.35579,1.1162,0.0078125,0,0.9837,1,0.064116,0.064116,
6,56.2957,0.42145,0.83438,0.00024414,0,0.75329,1,0.0033722,0.0033722,
7,55.7048,0.49233,0.44487,0.00048828,0,0.42653,1,0.0011952,0.0011952,
8,55.5712,0.58556,0.19644,0.00024414,0,0.19518,1,0.00025437,0.00025437,
9,55.4499,0.67426,0.21754,0.00012207,0,0.21535,1,5.1434e-05,5.1434e-05,
10,55.4126,0.81517,0.12396,6.1035e-05,0,0.12362,1,2.9133e-07,2.9133e-07,
11,55.4126,0.86031,3.4292e-06,0.00048828,0,3.4292e-06,-6,2.9136e-07,2.9136e-07,
