"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,68.5124,4.1534e-05,NaN,NaN,NaN,NaN,NaN,63.8269,63.8269,
1,43.8623,0.060075,22.4609,0.125,0,3.6126,1,66.7194,66.7194,
2,41.2167,0.094802,0.88245,0.25,0,0.85905,1,62.1972,62.1972,
3,38.2503,0.14545,9.5687,0.0019531,0,2.663,1,49.8174,49.8174,
4,35.0499,0.22801,8.5728,0.0078125,0,2.5843,1,41.1569,41.1569,
5,36.2229,0.26539,0.54442,0.125,0,0.54019,1,40.769,40.769,
6,49.4331,0.34258,200.4867,1,0,4.6784,1,30.6103,30.6103,
7,53.8652,0.38213,1.1881,1,0,1.1462,1,19.7811,19.7811,
8,56.3273,0.45719,7.8142,0.25,0,2.5086,1,16.8359,16.8359,
9,55.8287,0.50467,0.23407,0.0625,0,0.23379,1,16.574,16.574,
10,64.4883,0.57964,4.7871,0.125,0,1.9605,1,10.0253,10.0253,
11,65.4476,0.61853,0.4653,1,0,0.463,1,2.5808,2.5808,
12,56.9515,0.6998,1.9287,1.9073e-06,0,1.3175,1,1.1825,1.1825,
13,56.2372,0.73824,0.18202,0.5,0,0.1819,1,1.0172,1.0172,
14,66.3957,0.81615,4.3968,0.015625,0,1.8114,1,0.30681,0.30681,
15,65.5535,0.84932,0.11926,1,0,0.11923,1,0.19688,0.19688,
16,61.8699,1.0376,1.153,0.03125,0,0.96624,1,0.036619,0.036619,
17,62.0873,1.088,0.028302,1,0,0.028302,1,0.010407,0.010407,
18,61.079,1.2025,0.55734,0.00097656,0,0.52966,1,0.0012585,0.0012585,
19,61.0505,1.2387,0.0035972,0.25,0,0.0035972,1,0.0011149,0.0011149,
20,60.6272,1.3291,0.19912,7.6294e-06,0,0.19759,1,0.0002368,0.0002368,
21,60.5152,1.4261,0.12632,0.00048828,0,0.12588,1,6.5686e-05,6.5686e-05,
22,60.5123,1.4578,0.00037297,0.03125,0,0.00037297,1,6.5461e-05,6.5461e-05,
23,59.7696,1.5679,0.17457,0.00024414,0,0.17346,1,4.6636e-05,4.6636e-05,
24,59.7673,1.6017,0.00029635,0.03125,0,0.00029635,1,4.6328e-05,4.6328e-05,
