"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,138.3126,27.2601,4.9086e-05,NaN,NaN,NaN,NaN,9.3961,9.3961,
1,90.8184,91.0351,0.046609,0.0625,0,3.8152,1,1.7286,1.7286,
2,90.5463,16.0025,0.07779,1,0,0.17914,1,0.61372,0.61372,
3,84.3681,14.4229,0.13441,0.125,0,1.2312,1,0.84413,0.84413,
4,81.1427,24.0565,0.18778,0.015625,0,2.1106,1,0.077644,0.077644,
5,80.593,12.1883,0.21867,1,0,0.073106,1,0.052857,0.052857,
6,77.3356,13.1113,0.27425,0.0625,0,1.1551,1,0.25317,0.25317,
7,76.9148,11.0688,0.31033,0.0625,0,0.046014,1,0.2499,0.2499,
8,76.9036,155.4909,0.44831,1.5259e-05,0,0.012376,1,0.24995,0.24995,
9,76.8842,5040.3282,0.52969,3.0518e-05,0,0.8049,1,0.13432,0.13432,
10,79.116,2861.3814,0.6169,0.00024414,0,0.89167,1,0.0083843,0.0083843,
11,78.8298,1440.7639,0.7348,0.0019531,0,0.33388,1,0.0013064,0.0013064,
12,78.807,14.1369,0.77541,0.5,0,0.0053229,1,0.0012294,0.0012294,
13,78.7894,17.1923,0.80757,0.0625,0,0.0021151,1,0.0012245,0.0012245,
14,78.6808,467.7949,0.89065,0.00024414,0,0.22834,1,0.00038763,0.00038763,
15,78.6887,12.8163,0.92291,1,0,0.0023167,1,0.00010831,0.00010831,
16,78.6871,1655.4274,0.98517,4.7684e-07,0,0.0019291,1,0.00010833,0.00010833,
17,78.693,13.6224,1.0249,1,0,0.0014889,1,4.4857e-05,4.4857e-05,
18,78.6711,3610.3678,1.0904,1.9073e-06,0,0.022844,1,4.4891e-05,4.4891e-05,
19,78.6727,20.4162,1.1222,0.125,0,0.00040079,1,4.253e-05,4.253e-05,
20,78.64,2991.1564,1.2231,1.1921e-07,0,0.12101,1,1.2281e-07,1.2281e-07,
21,78.4694,5509467.0002,1.3467,1.4552e-11,0,0.032787,0,4.8258e-08,4.8258e-08,
22,78.4581,48.1588,1.6904,7.4506e-09,0,0.020501,1,2.5594e-10,2.5594e-10,
23,78.4461,12373357.7454,1.7832,4.6566e-10,0,0.0068761,1,1.2401e-10,1.2401e-10,
24,78.4461,12.6443,5.1002,4.6566e-10,0,7.9477e-12,1,1.2401e-10,1.2401e-10,
