"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,74.1579,25.9711,5.5504e-05,NaN,NaN,NaN,NaN,19.6391,19.6391,
1,41.4518,72.5907,0.052296,0.0625,0,4.3831,1,1.5112,1.5112,
2,41.6958,8.2974,0.080943,1,0,0.15574,1,0.4068,0.4068,
3,37.2951,36.2726,0.13142,0.0039063,0,1.191,1,0.038364,0.038364,
4,37.2465,17407.2857,0.19901,2.3842e-07,0,0.42342,1,0.020721,0.020721,
5,36.5356,4599.2306,0.26687,0.00048828,0,0.59682,1,0.0011142,0.0011142,
6,36.5385,14.4399,0.29689,0.0625,0,0.0016561,1,0.0010918,0.0010918,
7,36.4024,212.6002,0.36622,0.00012207,0,0.23231,1,9.6576e-05,9.6576e-05,
8,36.4051,10.0631,0.40485,1,0,0.0022378,1,8.5729e-05,8.5729e-05,
9,36.2867,499.9046,0.48261,6.1035e-05,0,0.18123,1,2.2184e-05,2.2184e-05,
10,36.2873,7.4417,0.51495,0.25,0,0.00042724,1,1.9755e-05,1.9755e-05,
11,36.2864,1838.3354,0.59418,4.7684e-07,0,0.0011151,1,1.9758e-05,1.9758e-05,
12,36.2062,1653628.0866,0.80469,2.9802e-08,0,0.12468,1,1.1162e-05,1.1162e-05,
13,36.0418,172392.9234,1.087,0.00048828,0,0.094552,1,1.6491e-06,1.6491e-06,
14,36.0414,9.589,1.1404,1,0,0.00027266,1,1.2676e-06,1.2676e-06,
