"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,89.5538,34.8373,5.6637e-05,NaN,NaN,NaN,NaN,24.0421,24.0421,
1,71.9626,151.9031,0.066339,0.0625,0,4.4072,1,12.1452,12.1452,
2,66.8666,249.0983,0.1798,0.0625,0,2.8129,1,9.7137,9.7137,
3,66.8494,24.1894,0.2151,0.00097656,0,0.026082,1,9.7147,9.7147,
4,66.847,108.5466,0.2545,3.8147e-06,0,0.0021798,1,9.7147,9.7147,
5,66.8316,67.3531,0.28944,0.00048828,0,0.013462,1,9.7128,9.7128,
6,61.5428,121.3632,0.35697,0.0078125,0,1.755,1,7.272,7.272,
7,59.905,19.3093,0.39254,1,0,0.42156,1,2.0729,2.0729,
8,58.2211,575.0025,0.59068,0.00097656,0,5.3096,1,0.30847,0.30847,
9,57.6034,202.7309,0.69995,0.0039063,0,0.75669,1,0.11534,0.11534,
10,57.75,19.9717,0.732,0.25,0,0.035408,1,0.10906,0.10906,
11,52.7077,531.9015,0.7859,0.0019531,0,0.99789,1,0.063078,0.063078,
12,52.5053,13.5101,0.82342,1,0,0.031838,1,0.017297,0.017297,
13,52.4161,14.4878,0.85647,0.03125,0,0.0070938,1,0.01715,0.01715,
14,52.2323,15.6739,0.88899,0.125,0,0.015006,1,0.017246,0.017246,
15,52.1643,18.2734,0.9202,0.03125,0,0.0064723,1,0.017284,0.017284,
16,52.1278,22.2663,0.95369,0.015625,0,0.0041446,1,0.017285,0.017285,
17,52.1158,29.7886,0.98564,0.0039063,0,0.0016057,1,0.01726,0.01726,
18,52.1035,37.0189,1.0162,0.0039063,0,0.0017841,1,0.017246,0.017246,
19,52.0928,56.0762,1.0482,0.0019531,0,0.0016605,1,0.01726,0.01726,
20,52.0904,139.7884,1.0867,0.00012207,0,0.00039951,1,0.01726,0.01726,
21,52.0877,235.54,1.1208,0.00012207,0,0.00046715,1,0.017262,0.017262,
22,52.0872,1607.1111,1.1572,9.5367e-07,0,8.292e-05,1,0.017262,0.017262,
