"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,84.0134,18.6359,4.9086e-05,NaN,NaN,NaN,NaN,4.3674,4.3674,
1,68.9269,33.4585,0.048505,0.125,0,2.753,1,5.5172,5.5172,
2,64.8077,13.2927,0.085728,1,0,0.49991,1,3.5479,3.5479,
3,64.1576,19.981,0.11793,0.015625,0,0.063642,1,3.5436,3.5436,
4,50.8697,100.3775,0.1791,0.015625,0,1.6063,1,1.7935,1.7935,
5,47.2296,965.9331,0.23942,0.00048828,0,1.1514,1,0.87951,0.87951,
6,47.19,12.5291,0.27229,1,0,0.18494,1,0.51857,0.51857,
7,47.1777,29.1343,0.41293,6.1035e-05,0,0.0035063,1,0.51858,0.51858,
8,47.1623,12.7075,0.44377,0.0078125,0,0.015752,1,0.51828,0.51828,
9,47.1597,26.4183,0.4921,1.5259e-05,0,0.0009179,1,0.51828,0.51828,
10,47.159,13.5214,0.52664,0.00024414,0,0.0027301,1,0.51827,0.51827,
11,47.1577,17.9989,0.56747,3.0518e-05,0,0.0011099,1,0.51827,0.51827,
12,47.1576,18.3355,0.60028,7.6294e-06,0,0.00047024,1,0.51827,0.51827,
13,47.1575,20.3566,0.63439,3.8147e-06,0,0.00035325,1,0.51827,0.51827,
14,47.1575,28.2151,0.67289,9.5367e-07,0,0.00025079,1,0.51827,0.51827,
