"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,94.2184,19.3633,0.00010081,NaN,NaN,NaN,NaN,7.7634,7.7634,
1,76.761,21.5623,0.060273,0.5,0,2.3507,1,2.4428,2.4428,
2,64.4802,45.9827,0.11053,0.25,0,2.5907,1,1.2501,1.2501,
3,62.2026,342.9192,0.17709,0.00097656,0,1.276,1,0.73834,0.73834,
4,61.4588,14.1904,0.22338,0.5,0,0.12331,1,0.62504,0.62504,
5,61.3939,26.5767,0.27008,0.0039063,0,0.010513,1,0.6244,0.6244,
6,59.0109,16.6922,0.36232,0.0078125,0,1.2263,1,0.020199,0.020199,
7,57.4938,376.6108,0.45044,0.0039063,0,0.75586,1,0.018762,0.018762,
8,55.9277,4987.0859,0.61115,0.00012207,0,0.61828,1,0.0046056,0.0046056,
9,55.4836,1161.2532,0.77136,0.015625,0,0.40918,1,0.00034819,0.00034819,
10,55.4464,4039.8766,0.90024,1.5259e-05,0,0.17922,1,7.3507e-06,7.3507e-06,
11,55.4471,120.9618,0.93539,0.015625,0,6.8132e-05,1,7.3041e-06,7.3041e-06,
