"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,81.1476,42.4785,5.2484e-05,NaN,NaN,NaN,NaN,50.9084,50.9084,
1,62.4849,15.4381,0.050808,1,0,3.5118,1,28.1973,28.1973,
2,39.0207,9.996,0.096623,1,0,4.25,1,12.3852,12.3852,
3,36.3251,7.7812,0.13801,0.125,0,0.4675,1,12.6637,12.6637,
4,29.9337,7.2329,0.1906,0.25,0,1.3905,1,9.854,9.854,
5,27.3838,6.3607,0.24245,0.25,0,2.7507,1,4.6566,4.6566,
6,32.4959,238.6228,0.28633,0.00097656,0,4.8077,1,1.5437,1.5437,
7,32.0243,10.9031,0.31771,0.25,0,0.15071,1,1.5427,1.5427,
8,31.6327,14.133,0.34819,0.0625,0,0.072053,1,1.5212,1.5212,
9,30.3365,33.4032,0.40083,0.0078125,0,1.726,1,0.069426,0.069426,
10,29.8201,235.115,0.45678,0.00048828,0,0.67376,1,0.0082666,0.0082666,
11,29.4272,410.4787,0.55374,0.00097656,0,0.41614,1,0.00030711,0.00030711,
12,29.443,14.0748,0.58311,1,0,0.0043662,1,0.00027557,0.00027557,
13,29.2172,1151.5548,0.64283,6.1035e-05,0,0.24213,1,5.554e-05,5.554e-05,
14,29.2227,7.9884,0.68115,1,0,0.0012897,1,2.3999e-05,2.3999e-05,
15,29.1012,2517.2936,0.73642,3.0518e-05,0,0.095574,1,1.6109e-05,1.6109e-05,
16,29.0869,10922.8877,0.90416,6.1035e-05,0,0.10744,1,2.9545e-06,2.9545e-06,
17,29.0884,12.0396,0.94519,1,0,0.00037613,-6,2.045e-06,2.045e-06,
18,29.0568,13130.2033,1.0377,5.9605e-08,0,0.055418,1,4.1352e-08,4.1352e-08,
19,29.0567,8.0678,1.0938,1,0,2.6819e-05,-6,1.0416e-08,1.0416e-08,
