"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,81.9751,81.1176,5.2106e-05,NaN,NaN,NaN,NaN,155.0379,155.0379,
1,56.5673,67.5838,0.063288,0.25,0,4.2157,1,67.0336,67.0336,
2,45.8369,50.1155,0.13273,0.125,0,3.3945,1,62.1209,62.1209,
3,48.8215,8.1059,0.16827,0.5,0,0.95556,1,50.9969,50.9969,
4,44.1075,12.9044,0.20921,1,0,3.1391,1,22.0031,22.0031,
5,42.939,29.7538,0.36033,0.0625,0,2.5873,1,13.3626,13.3626,
6,42.8405,19.3522,0.39318,0.0625,0,0.1256,1,12.8199,12.8199,
7,48.3754,12.9586,0.5703,0.0625,0,3.0198,1,4.8809,4.8809,
8,46.6628,10.1169,0.60779,0.25,0,0.23454,1,4.4511,4.4511,
9,46.0321,11.6009,0.64338,0.03125,0,0.11256,1,4.5222,4.5222,
10,45.7967,15.3574,0.68081,0.0078125,0,0.051571,1,4.5359,4.5359,
11,45.6415,21.793,0.71799,0.0039063,0,0.038093,1,4.5458,4.5458,
12,45.5631,38.5791,0.75446,0.00097656,0,0.021225,1,4.55,4.55,
13,45.5382,86.379,0.79135,0.00012207,0,0.0071304,1,4.5505,4.5505,
14,45.5189,163.8384,0.82785,6.1035e-05,0,0.0056455,1,4.5508,4.5508,
15,45.5151,590.1506,0.8661,1.9073e-06,0,0.0011113,1,4.5508,4.5508,
16,45.5125,1310.1066,0.90403,9.5367e-07,0,0.00079573,1,4.5508,4.5508,
17,45.5121,8183.3264,0.94172,7.4506e-09,0,9.8429e-05,1,4.5508,4.5508,
