"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,64.8336,3.9646e-05,NaN,NaN,NaN,NaN,NaN,5.9635,5.9635,
1,46.2834,0.049634,7.2912,0.25,0,3.2086,1,8.1604,8.1604,
2,45.5773,0.083553,0.19577,0.125,0,0.19564,1,7.8383,7.8383,
3,42.3284,0.13576,2.5768,0.0625,0,1.5404,1,7.4623,7.4623,
4,43.6043,0.16806,0.31617,0.5,0,0.31562,1,5.4537,5.4537,
5,41.6913,0.22464,1.7906,0.0039063,0,1.2355,1,4.5539,4.5539,
6,40.3591,0.26128,0.34873,0.5,0,0.34799,1,4.3852,4.3852,
7,58.6848,0.34746,1137.1464,0.25,0,5.9699,1,0.050024,0.050024,
8,58.4973,0.37757,0.03051,0.5,0,0.03051,1,0.0385,0.0385,
9,57.5522,0.45582,0.51203,6.1035e-05,0,0.48528,1,0.0090659,0.0090659,
10,56.2905,0.53387,0.47158,0.00012207,0,0.45004,1,0.00084795,0.00084795,
11,56.2661,0.56584,0.0042543,1,0,0.0042543,1,0.00025524,0.00025524,
12,55.8556,0.67001,0.24971,9.5367e-07,0,0.24709,1,0.00022546,0.00022546,
13,55.8645,0.71842,0.0014977,0.25,0,0.0014977,-6,0.00020055,0.00020055,
14,56.0701,0.965,0.14869,0.00097656,0,0.14808,1,1.0336e-05,1.0336e-05,
15,56.0699,1.023,4.0935e-05,0.0039063,0,4.0935e-05,-6,1.0319e-05,1.0319e-05,
