"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,137.0824,57.57,5.5127e-05,NaN,NaN,NaN,NaN,64.4659,64.4659,
1,113.4344,68.7533,0.054523,0.125,0,3.5523,1,18.0486,18.0486,
2,93.3637,48.0399,0.11703,1,0,2.9119,1,7.8463,7.8463,
3,84.7663,32.533,0.18402,0.25,0,2.4612,1,5.4975,5.4975,
4,85.0998,89.4462,0.3309,0.015625,0,1.9587,1,3.9954,3.9954,
5,85.642,27.8817,0.36497,0.125,0,0.1135,1,3.7964,3.7964,
6,81.145,33.6967,0.41645,0.125,0,1.6487,1,3.5274,3.5274,
7,78.4466,12.8684,0.4516,1,0,0.25212,1,1.0103,1.0103,
8,77.4156,11.4689,0.49133,0.125,0,0.11974,1,1.0388,1.0388,
9,74.8051,12.3709,0.52552,0.5,0,0.21635,1,0.85325,0.85325,
10,72.6623,12.4183,0.56068,0.25,0,0.17957,1,0.87203,0.87203,
11,71.2342,12.2222,0.59546,0.125,0,0.1243,1,0.88745,0.88745,
12,70.4184,12.1388,0.63106,0.0625,0,0.077078,1,0.89204,0.89204,
13,70.0017,12.2709,0.66741,0.03125,0,0.044458,1,0.88981,0.88981,
14,69.8044,12.6336,0.7053,0.015625,0,0.024396,1,0.88531,0.88531,
15,69.6268,13.1876,0.74358,0.015625,0,0.025333,1,0.88298,0.88298,
16,69.5407,14.2925,0.77922,0.0078125,0,0.015368,1,0.8808,0.8808,
17,69.4592,16.0041,0.81264,0.0078125,0,0.017893,1,0.88067,0.88067,
18,69.4319,21.168,0.84629,0.0019531,0,0.0081502,1,0.88041,0.88041,
19,69.4146,30.8835,0.88375,0.00097656,0,0.0062156,1,0.8804,0.8804,
20,69.4044,63.4123,0.91884,0.00024414,0,0.0042305,1,0.88058,0.88058,
21,69.4042,3982.1067,0.95506,3.7253e-09,0,8.8049e-05,1,0.88059,0.88059,
