"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,99.4442,37.1169,4.9841e-05,NaN,NaN,NaN,NaN,19.6086,19.6086,
1,67.1951,22.183,0.058206,0.5,0,4.3242,1,7.0787,7.0787,
2,63.5454,21.7633,0.094323,0.125,0,0.32727,1,7.9392,7.9392,
3,63.2079,55.2025,0.13441,0.00097656,0,0.046994,1,7.9699,7.9699,
4,63.2014,927.2995,0.17806,2.3842e-07,0,0.0009154,1,7.9699,7.9699,
5,70.1342,538.4801,0.28234,0.03125,0,3.102,1,5.5232,5.5232,
6,69.7174,49.3176,0.31915,0.015625,0,0.063665,1,5.5035,5.5035,
7,69.7103,325.0151,0.36125,9.5367e-07,0,0.0010801,1,5.5035,5.5035,
8,69.7075,2220.8538,0.40635,5.9605e-08,0,0.00044202,1,5.5035,5.5035,
9,67.9668,11125.4063,0.51695,0.00048828,0,2.4497,1,5.4697,5.4697,
10,67.3161,19.7276,0.55252,0.25,0,0.24019,1,5.1165,5.1165,
11,67.316,152.1353,0.59379,1.4901e-08,0,8.2123e-05,1,5.1165,5.1165,
