"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,83.6045,14.1672,4.9086e-05,NaN,NaN,NaN,NaN,4.8406,4.8406,
1,67.8773,27.4097,0.051032,0.25,0,4.0464,1,1.2575,1.2575,
2,66.8177,10.581,0.080145,1,0,0.18665,1,0.32248,0.32248,
3,46.0288,62.2994,0.13578,0.125,0,3.6545,1,0.93768,0.93768,
4,45.3429,525.2081,0.18968,0.0039063,0,1.6371,1,0.80637,0.80637,
5,42.9618,1014.5931,0.29697,0.0039063,0,1.2822,1,0.42982,0.42982,
6,47.2586,177.5871,0.38972,0.25,0,2.4118,1,0.18396,0.18396,
7,47.5446,197.5817,0.46436,0.00048828,0,0.74318,1,0.036062,0.036062,
8,47.549,28.5363,0.49763,1,0,0.046778,1,0.029325,0.029325,
9,45.8249,7890.3236,0.55774,7.6294e-06,0,0.67051,1,0.019544,0.019544,
10,45.9436,3260.1006,0.66864,0.00048828,0,0.45416,1,0.0013739,0.0013739,
11,45.9122,12.5878,0.69949,1,0,0.0078566,1,0.0008856,0.0008856,
12,45.9115,13.1374,0.7321,0.00097656,0,0.00023839,1,0.00088554,0.00088554,
