"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,84.4706,5.5127e-05,NaN,NaN,NaN,NaN,NaN,0.084741,0.084741,
1,76.5004,0.040518,1.2598,0.03125,0,1.038,1,0.24035,0.24035,
2,75.8367,0.072607,0.090361,1,0,0.090342,1,0.088861,0.088861,
3,71.9793,0.12687,1.1773,0.00012207,0,1.066,1,0.085069,0.085069,
4,72.0184,0.19742,0.042518,1,0,0.042516,1,0.025332,0.025332,
5,70.1964,0.30953,0.7921,3.0518e-05,0,0.72152,1,0.010676,0.010676,
6,71.5454,0.38556,0.3547,0.0625,0,0.34674,1,0.0019627,0.0019627,
7,71.5513,0.41809,0.0058751,1,0,0.0058751,1,0.00049247,0.00049247,
8,70.7388,0.49713,0.21433,1.1921e-07,0,0.2127,1,2.0482e-05,2.0482e-05,
9,70.7387,0.5286,0.0001643,0.03125,0,0.0001643,1,2.0229e-05,2.0229e-05,
