"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,77.2628,51.57,4.9841e-05,NaN,NaN,NaN,NaN,51.3947,51.3947,
1,66.5409,44.151,0.049374,0.125,0,4.2652,1,27.4764,27.4764,
2,66.1386,11.728,0.090852,0.03125,0,0.1848,1,27.2769,27.2769,
3,65.8752,28.5776,0.12804,0.0039063,0,0.07359,1,27.2668,27.2668,
4,63.4792,38.1894,0.2148,0.015625,0,1.4286,1,22.4405,22.4405,
5,58.866,11.3428,0.28667,0.125,0,2.5728,1,17.6968,17.6968,
6,58.4288,15.2175,0.32916,0.0078125,0,0.17488,1,17.7699,17.7699,
7,51.5651,10.9064,0.36039,1,0,0.80587,1,5.713,5.713,
8,40.7104,6.5357,0.40069,1,0,1.5923,1,1.7207,1.7207,
9,37.9212,5.9242,0.43322,0.5,0,0.46003,1,1.9318,1.9318,
10,36.1159,7.523,0.55895,0.0625,0,0.54674,1,1.9893,1.9893,
11,35.0422,5.9235,0.59449,0.25,0,0.22219,1,1.9696,1.9696,
12,34.8126,6.1765,0.72822,0.015625,0,0.069317,1,1.9851,1.9851,
13,34.7171,6.347,0.76814,0.0078125,0,0.033128,1,1.9835,1.9835,
14,34.6256,6.5698,0.80845,0.0078125,0,0.037125,1,1.9872,1.9872,
15,34.5784,7.0554,0.84414,0.0039063,0,0.025012,1,1.9888,1.9888,
16,34.5551,7.8202,0.88086,0.0019531,0,0.016313,1,1.9892,1.9892,
17,34.5434,8.9375,0.91462,0.00097656,0,0.010674,1,1.9891,1.9891,
18,34.5309,10.54,0.96066,0.00097656,0,0.014151,1,1.9905,1.9905,
19,34.5269,19.6168,1.0149,0.00012207,0,0.0065376,1,1.991,1.991,
20,34.5264,87.8731,1.0552,1.9073e-06,0,0.0010274,1,1.991,1.991,
21,34.5262,267.2488,1.0907,4.7684e-07,0,0.00050604,1,1.991,1.991,
22,34.5261,1160.1694,1.1272,2.9802e-08,0,0.00014662,1,1.991,1.991,
