"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,99.3415,32.8153,8.3823e-05,NaN,NaN,NaN,NaN,21.9779,21.9779,
1,97.2641,20.8906,0.20298,0.015625,0,1.4179,1,20.5013,20.5013,
2,91.5773,11.8829,0.24421,0.5,0,0.83007,1,16.8927,16.8927,
3,66.4247,8.2973,0.36007,1,0,3.05,1,6.1189,6.1189,
4,60.8831,7.1307,0.48902,0.5,0,1.0049,1,4.0136,4.0136,
5,58.9628,26.493,0.54326,0.125,0,2.7984,1,2.9546,2.9546,
6,55.9385,19.7879,0.59042,0.0625,0,1.2698,1,3.2267,3.2267,
7,55.5872,13.183,0.62732,0.0078125,0,0.054199,1,3.2458,3.2458,
8,49.6626,77.0579,0.68592,0.0039063,0,2.601,1,0.38262,0.38262,
9,49.3579,10.5382,0.72125,1,0,0.087553,1,0.097998,0.097998,
10,48.0534,59.3438,0.80084,0.0039063,0,0.87477,1,0.052523,0.052523,
11,47.1745,815.2861,0.86424,0.00012207,0,0.67013,1,0.0023855,0.0023855,
12,47.1069,5279.8001,1.0077,0.00012207,0,0.37784,1,0.00044607,0.00044607,
13,47.1107,49.1067,1.04,0.03125,0,0.00071825,1,0.00044065,0.00044065,
14,47.0228,3964.5038,1.1115,7.6294e-06,0,0.25748,1,0.00016524,0.00016524,
15,47.0163,6216.4247,1.2407,0.00024414,0,0.11554,1,3.9418e-05,3.9418e-05,
16,47.0551,4591.4402,1.3896,0.00024414,0,0.093196,1,3.8114e-06,3.8114e-06,
17,47.0217,1334279.8958,1.6053,2.9802e-08,0,0.076861,0,9.8922e-07,9.8922e-07,
18,47.0089,2585.402,1.9615,7.4506e-09,0,0.032006,1,2.4525e-07,2.4525e-07,
19,47.0473,362074.6599,2.1615,3.7253e-09,0,0.024135,1,4.786e-08,4.786e-08,
20,47.0455,8.102,2.4068,5.9605e-08,0,0.019723,1,9.8905e-10,9.8905e-10,
21,47.0455,6.0208,2.4384,0.015625,0,2.0648e-06,1,9.853e-10,9.853e-10,
