method,nrep,time,iter
Riemannian_SQP,1,1.9532,27
LQH,2,1.6544,37
Riemannian_SQP,2,1.3659,18
Riemannian_SQP,3,1.599,22
Riemannian_SQP,4,5.4605,74
Riemannian_SQP,5,6.3496,84
LQH,6,30.5543,1779
LSE,6,47.2543,1602
Riemannian_SQP,6,14.8685,209
LQH,7,34.5928,1660
Riemannian_SQP,7,53.8953,737
LSE,8,9.1934,43
Riemannian_SQP,8,23.1053,324
ALM,9,4.5257,17
LSE,9,39.1873,1398
Riemannian_SQP,9,6.2811,80
ALM,10,2.1059,20
LQH,10,12.8077,675
Riemannian_SQP,10,0.65535,9
LQH,11,50.2584,2686
Riemannian_SQP,11,1.3304,18
LSE,12,16.2822,79
Riemannian_SQP,12,1.0825,15
ALM,13,3.0898,21
LSE,13,4.1476,19
Riemannian_SQP,13,9.0087,118
Riemannian_SQP,14,1.742,22
LQH,15,1.4414,35
Riemannian_SQP,15,0.8289700000000001,11
LQH,16,1.855,35
Riemannian_SQP,16,1.022,14
LQH,17,8.8643,469
Riemannian_SQP,17,1.4759,19
LQH,18,26.1659,1172
Riemannian_SQP,18,0.7814800000000001,10
Riemannian_SQP,19,0.72638,10
ALM,20,6.0697,21
LSE,20,39.7166,1184
Riemannian_SQP,20,39.59,545
