"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,0.26886,0.035335,0.045604,0.97155,
1,0.019653,0,0,-0.68056,0.74105,
2,0.022797,0,0,-0.68056,0.74105,
3,0.082508,0,0,-0.82608,0.39077,
4,0.13514,0,0,-0.86545,0.20341,
5,0.17936,0,0,-0.8675,0.18874,
6,0.20507,9.1058e-06,9.1058e-08,-0.86771,0.18704,
7,0.21634,1.8092e-06,1.8092e-08,-0.86774,0.18679,
8,0.2283,5.1088e-07,5.1088e-09,-0.86774,0.18676,
9,0.23679,9.7543e-07,1.7267e-08,-0.86774,0.1868,
10,0.24365,2.426e-06,9.4265e-08,-0.86774,0.18678,
11,0.25428,1.811e-07,3.537e-09,-0.86774,0.18679,
12,0.26762,4.5173e-08,5.5238e-10,-0.86774,0.18679,
13,0.27895,4.0308e-07,5.2225e-09,-0.86774,0.1868,
14,0.29228,5.2086e-07,1.7279e-08,-0.86774,0.1868,
15,0.30512,1.1255e-08,4.3922e-10,-0.86774,0.1868,
16,0.31188,8.3303e-07,3.1922e-08,-0.86774,0.18681,
17,0.32225,1.6401e-08,1.6401e-10,-0.86774,0.18681,
18,0.33262,2.2661e-10,2.4894e-12,-0.86774,0.18681,
19,0.34249,1.4843e-08,2.1234e-10,-0.86774,0.18682,
20,0.36157,1.782e-08,7.4222e-10,-0.86774,0.18682,
21,0.37517,3.2287e-11,1.2873e-12,-0.86774,0.18682,
22,0.3864,1.296e-08,5.2702e-10,-0.86774,0.18682,
23,0.40901,3.1227e-11,3.1227e-13,-0.86774,0.18682,
24,0.42992,9.2536e-14,9.2536e-16,-0.86774,0.18682,
25,0.44877,0,0,-0.86774,0.18682,
26,0.46857,4.3093e-10,1.7127e-11,-0.86774,0.18682,
27,0.48639,8.9447e-14,3.6242e-15,-0.86774,0.18682,
28,0.49915,3.4535e-10,1.435e-11,-0.86774,0.18682,
29,0.52911,1.0855e-11,1.0855e-13,-0.86774,0.18682,
30,0.56152,1.4417e-15,1.4417e-17,-0.86774,0.18682,
