"iter","cost",
0,0.01522,
1,-0.34562,
2,-0.52763,
3,-0.52843,
4,-0.48776,
5,-0.48225,
6,-0.50668,
7,-0.54,
8,-0.50793,
9,-0.50441,
10,-0.50419,
11,-0.5038,
12,-0.50377,
13,-0.50377,
14,-0.50377,
15,-0.50413,
16,-0.50383,
17,-0.5039,
18,-0.50403,
19,-0.50415,
20,-0.50444,
21,-0.5064,
22,-0.50691,
23,-0.50726,
24,-0.50886,
25,-0.51083,
26,-0.51105,
27,-0.51126,
28,-0.51283,
29,-0.51505,
30,-0.51491,
31,-0.51397,
32,-0.51306,
33,-0.51377,
34,-0.5138,
35,-0.51328,
36,-0.51316,
37,-0.51314,
38,-0.51313,
39,-0.51313,
40,-0.51313,
41,-0.51313,
41,-0.51313,
