"iter","cost",
0,-0.011707,
1,-0.25465,
2,-0.40688,
3,-0.45309,
4,-0.47758,
5,-0.46438,
6,-0.48282,
7,-0.49303,
8,-0.49593,
9,-0.50038,
10,-0.49753,
11,-0.49735,
12,-0.4985,
13,-0.49729,
14,-0.49782,
15,-0.49846,
16,-0.49874,
17,-0.49904,
18,-0.49951,
19,-0.50185,
20,-0.50441,
21,-0.50418,
22,-0.50184,
23,-0.5032,
24,-0.50376,
25,-0.50373,
26,-0.50461,
27,-0.50464,
28,-0.50385,
29,-0.50418,
30,-0.50401,
31,-0.50419,
32,-0.50401,
33,-0.50403,
34,-0.50397,
35,-0.50396,
36,-0.50396,
37,-0.50396,
38,-0.50396,
39,-0.50395,
40,-0.50395,
41,-0.50395,
42,-0.50395,
43,-0.50395,
44,-0.50395,
44,-0.50395,
