"iter","time","maxviolation","meanviolation","cost",
0,0,0.43581,0.11615,0.089979,
1,0.0089596,0,0,-0.30163,
2,0.024766,0,0,-0.37312,
3,0.062866,0,0,-0.67466,
4,0.086884,0,0,-0.68327,
5,0.10527,4.715e-05,1.886e-06,-0.68404,
6,0.1129,3.7581e-06,2.9193e-07,-0.68412,
7,0.11797,1.8327e-06,7.5402e-08,-0.68413,
8,0.12377,2.5002e-06,1.2016e-07,-0.68414,
9,0.12522,2.5002e-06,1.2016e-07,-0.68414,
10,0.13014,3.7608e-07,3.7397e-08,-0.68414,
11,0.1339,1.6263e-06,1.4723e-07,-0.68414,
12,0.13946,5.2319e-07,2.5824e-08,-0.68414,
13,0.14444,2.8225e-09,1.129e-10,-0.68414,
14,0.14873,7.8084e-07,6.1977e-08,-0.68414,
15,0.15506,1.6704e-08,6.6816e-10,-0.68414,
16,0.16009,3.7818e-08,2.6003e-09,-0.68414,
17,0.16627,1.0025e-08,4.0099e-10,-0.68414,
18,0.17295,1.5982e-11,6.393e-13,-0.68414,
19,0.17429,1.5982e-11,6.393e-13,-0.68414,
20,0.1756,1.5982e-11,6.393e-13,-0.68414,
21,0.18178,7.5807e-12,5.5763e-13,-0.68414,
22,0.18571,1.9272e-09,7.7089e-11,-0.68414,
23,0.19448,3.1786e-09,2.4051e-10,-0.68414,
24,0.20307,1.2853e-13,9.7121e-15,-0.68414,
25,0.2077,1.1814e-09,8.9257e-11,-0.68414,
26,0.21733,1.3802e-10,5.5208e-12,-0.68414,
27,0.22674,1.3197e-15,5.2789e-17,-0.68414,
28,0.23241,3.6889e-11,1.4755e-12,-0.68414,
29,0.24237,3.9137e-11,3.1256e-12,-0.68414,
30,0.25212,1.4732e-16,1.1402e-17,-0.68414,
