"iter","cost",
0,-0.017347,
1,-0.3236,
2,-0.49871,
3,-0.51176,
4,-0.50312,
5,-0.51082,
6,-0.50978,
7,-0.51752,
8,-0.51604,
9,-0.51542,
10,-0.5165,
11,-0.51666,
12,-0.51649,
13,-0.51649,
14,-0.51631,
15,-0.51641,
16,-0.51652,
17,-0.51671,
18,-0.51707,
19,-0.51739,
20,-0.51791,
21,-0.5182,
22,-0.51784,
23,-0.51787,
24,-0.51771,
25,-0.51779,
26,-0.51788,
27,-0.51799,
28,-0.51804,
29,-0.51821,
30,-0.51837,
31,-0.51804,
32,-0.51798,
33,-0.51798,
34,-0.51798,
35,-0.51801,
36,-0.518,
37,-0.518,
38,-0.51798,
39,-0.51797,
40,-0.51797,
41,-0.51797,
42,-0.51797,
43,-0.51797,
44,-0.51797,
45,-0.51797,
46,-0.51797,
47,-0.51797,
47,-0.51797,
