"iter","time","maxviolation","meanviolation","cost",
0,0,0.3041,0.029902,-0.013616,
1,0.018387,0,0,-0.21439,
2,0.021657,0,0,-0.21439,
3,0.11363,0,0,-0.48831,
4,0.19958,0.0028551,3.7216e-05,-0.61154,
5,0.25053,0.00045527,7.6325e-06,-0.61748,
6,0.27528,5.5501e-05,1.3849e-06,-0.61815,
7,0.28447,1.1953e-05,3.5487e-07,-0.61823,
8,0.29319,1.3676e-06,3.9118e-08,-0.61824,
9,0.29596,1.3676e-06,3.9118e-08,-0.61824,
10,0.30583,9.933e-07,5.9691e-08,-0.61825,
11,0.31469,5.4738e-07,3.4529e-08,-0.61825,
12,0.3242,8.701e-08,2.7784e-09,-0.61825,
13,0.33491,9.6234e-07,7.4677e-08,-0.61825,
14,0.34597,5.0455e-08,3.9673e-09,-0.61825,
15,0.35512,7.0767e-08,5.7046e-09,-0.61825,
16,0.36738,1.5452e-08,7.8914e-10,-0.61825,
17,0.37722,2.0985e-09,1.2055e-10,-0.61825,
18,0.38603,5.2181e-08,2.9285e-09,-0.61825,
19,0.39919,2.8776e-08,1.9613e-09,-0.61825,
20,0.41213,5.0408e-11,3.5081e-12,-0.61825,
21,0.422,2.0014e-08,1.673e-09,-0.61825,
22,0.44127,2.0854e-09,9.4493e-11,-0.61825,
23,0.45529,1.5039e-12,4.5271e-14,-0.61825,
24,0.46554,5.443e-09,1.944e-10,-0.61825,
25,0.48071,3.5778e-09,1.9889e-10,-0.61825,
26,0.50197,5.5803e-13,4.0181e-14,-0.61825,
27,0.51691,3.8316e-09,2.9718e-10,-0.61825,
28,0.53798,5.8375e-10,3.1175e-11,-0.61825,
29,0.56494,2.746e-14,1.5525e-15,-0.61825,
30,0.57715,3.0421e-10,1.7737e-11,-0.61825,
