"iter","cost",
0,-0.00091166,
1,-0.15874,
2,-0.2494,
3,-0.29794,
4,-0.37795,
5,-0.39971,
6,-0.46923,
7,-0.48089,
8,-0.49791,
9,-0.51535,
10,-0.51438,
11,-0.51643,
12,-0.50949,
13,-0.50764,
14,-0.50794,
15,-0.50788,
16,-0.50756,
17,-0.50757,
18,-0.50749,
19,-0.50747,
20,-0.50749,
21,-0.50806,
22,-0.50768,
23,-0.50792,
24,-0.50925,
25,-0.51315,
26,-0.52088,
27,-0.51344,
28,-0.51426,
29,-0.51384,
30,-0.51381,
31,-0.51384,
32,-0.51381,
33,-0.51381,
34,-0.5138,
35,-0.5138,
36,-0.5138,
37,-0.5138,
38,-0.51379,
38,-0.51379,
