"iter","cost",
0,-25.1318,
1,-61.0855,
2,-37.604,
3,-13.3687,
4,-7.5293,
5,-5.6442,
6,-3.7126,
7,-3.1744,
8,-2.2573,
9,-1.4388,
10,-1.1724,
11,-0.36164,
12,-0.36739,
13,-0.31756,
14,-0.23657,
15,-0.22072,
16,-0.15509,
17,-0.15551,
18,-0.14777,
19,-0.14676,
20,-0.14822,
21,-0.14754,
22,-0.14748,
23,-0.14757,
24,-0.15337,
25,-0.16233,
26,-0.18055,
27,-0.33164,
28,-0.52632,
29,-0.56114,
30,-0.58315,
31,-0.58921,
32,-0.58857,
33,-0.58903,
34,-0.59002,
35,-0.59103,
36,-0.59156,
37,-0.59218,
38,-0.59287,
39,-0.59321,
40,-0.59321,
41,-0.5932,
42,-0.59323,
43,-0.59334,
44,-0.59353,
45,-0.59365,
46,-0.59367,
47,-0.59368,
48,-0.5937,
49,-0.59372,
50,-0.59374,
51,-0.59374,
52,-0.59373,
53,-0.59373,
54,-0.59372,
55,-0.59372,
55,-0.59372,
