"iter","cost",
0,0.5827,
1,-10.3281,
2,-7.3247,
3,-2.4676,
4,-1.3737,
5,0.087145,
6,-0.048533,
7,0.045922,
8,-0.017163,
9,0.024357,
10,0.015322,
11,0.017009,
12,-0.028782,
13,-0.14797,
14,-0.13415,
15,-0.1289,
16,-0.30448,
17,-0.55763,
18,-0.55499,
19,-0.56332,
20,-0.55864,
21,-0.55786,
22,-0.72553,
23,-0.73235,
24,-0.73161,
25,-0.73148,
26,-0.73078,
27,-0.73067,
28,-0.73069,
29,-0.73074,
30,-0.76768,
31,-0.7677,
32,-0.76732,
33,-0.76723,
34,-0.76722,
35,-0.76722,
36,-0.77491,
37,-0.77467,
38,-0.77465,
39,-0.77465,
40,-0.77465,
40,-0.77465,
