"iter","cost",
0,-4.0055,
1,-4.3968,
2,-2.6091,
3,-0.78469,
4,-1.2357,
5,-0.67,
6,-0.36867,
7,-0.34946,
8,-0.33393,
9,-0.33218,
10,-0.3885,
11,-0.45408,
12,-0.54109,
13,-0.6168,
14,-0.61476,
15,-0.61422,
16,-0.61352,
17,-0.61508,
18,-0.61727,
19,-0.6184,
20,-0.61949,
21,-0.62045,
22,-0.62127,
23,-0.62301,
24,-0.6241,
25,-0.62731,
26,-0.6326,
27,-0.6407,
28,-0.64541,
29,-0.65003,
30,-0.64373,
31,-0.64299,
32,-0.64305,
33,-0.64314,
34,-0.64324,
35,-0.6437,
36,-0.64434,
37,-0.64474,
38,-0.64452,
39,-0.64445,
40,-0.64444,
41,-0.64444,
42,-0.64807,
43,-0.64741,
44,-0.64739,
45,-0.64739,
46,-0.64739,
47,-0.64739,
48,-0.64739,
48,-0.64739,
