"iter","cost",
0,-29.9513,
1,-36.7758,
2,-21.0511,
3,-5.8361,
4,-4.3385,
5,-3.8436,
6,-2.4937,
7,-1.5199,
8,-1.1218,
9,-0.44004,
10,-0.40604,
11,-0.22979,
12,-0.20912,
13,-0.18445,
14,-0.17643,
15,-0.17936,
16,-0.17944,
17,-0.19065,
18,-0.20847,
19,-0.2441,
20,-0.52218,
21,-0.61459,
22,-0.66172,
23,-0.65062,
24,-0.649,
25,-0.64875,
26,-0.64898,
27,-0.64946,
28,-0.65058,
29,-0.65088,
30,-0.65102,
31,-0.65086,
32,-0.65079,
33,-0.65081,
34,-0.65086,
35,-0.65092,
36,-0.65094,
37,-0.65095,
38,-0.65094,
39,-0.65094,
40,-0.65094,
41,-0.65094,
42,-0.65094,
43,-0.65095,
44,-0.65095,
45,-0.65095,
46,-0.67755,
47,-0.67848,
48,-0.67792,
49,-0.67781,
50,-0.67779,
51,-0.6778,
52,-0.6778,
53,-0.6778,
53,-0.6778,
