"iter","cost",
0,-3.9225,
1,-13.3044,
2,-8.5851,
3,-4.0616,
4,-3.003,
5,-0.75414,
6,-0.58094,
7,-0.43461,
8,-0.33232,
9,-0.19935,
10,-0.18869,
11,-0.18634,
12,-0.18151,
13,-0.2374,
14,-0.35006,
15,-0.33527,
16,-0.32957,
17,-0.48449,
18,-0.65277,
19,-0.64383,
20,-0.64756,
21,-0.64561,
22,-0.64502,
23,-0.77084,
24,-0.77997,
25,-0.77759,
26,-0.77725,
27,-0.77726,
28,-0.7774,
29,-0.77739,
30,-0.7774,
31,-0.80828,
32,-0.80792,
33,-0.80779,
34,-0.80776,
35,-0.80775,
36,-0.80775,
37,-0.81415,
38,-0.81403,
39,-0.81403,
40,-0.81402,
41,-0.81402,
41,-0.81402,
