"iter","cost",
0,-0.01207,
1,-0.30772,
2,-0.51598,
3,-0.48331,
4,-0.47088,
5,-0.48596,
6,-0.50839,
7,-0.50957,
8,-0.51453,
9,-0.51646,
10,-0.51698,
11,-0.51355,
12,-0.51317,
13,-0.51303,
14,-0.51324,
15,-0.51318,
16,-0.51309,
17,-0.51307,
18,-0.51312,
19,-0.51326,
20,-0.51344,
21,-0.51316,
22,-0.5133,
23,-0.51347,
24,-0.5136,
25,-0.51383,
26,-0.5148,
27,-0.51521,
28,-0.51591,
29,-0.51624,
30,-0.51669,
31,-0.51676,
32,-0.51654,
33,-0.51633,
34,-0.5162,
35,-0.51618,
36,-0.51618,
37,-0.51618,
38,-0.51618,
39,-0.51617,
40,-0.51617,
41,-0.51617,
42,-0.51617,
42,-0.51617,
