"iter","cost",
0,-0.0053075,
1,-0.278,
2,-0.55021,
3,-0.61426,
4,-0.54922,
5,-0.5378,
6,-0.53372,
7,-0.53321,
8,-0.53458,
9,-0.53347,
10,-0.53315,
11,-0.53322,
12,-0.53347,
13,-0.53365,
14,-0.53393,
15,-0.53409,
16,-0.53406,
17,-0.53385,
18,-0.53384,
19,-0.53384,
20,-0.53379,
21,-0.53375,
22,-0.53373,
23,-0.53371,
24,-0.53371,
25,-0.53371,
26,-0.53371,
27,-0.53371,
28,-0.53371,
29,-0.53371,
30,-0.53371,
31,-0.53371,
32,-0.53371,
33,-0.53371,
34,-0.53371,
35,-0.53371,
36,-0.53371,
37,-0.53371,
38,-0.53371,
39,-0.53371,
39,-0.53371,
