"iter","cost",
0,0.0007327,
1,-0.2434,
2,-0.43992,
3,-0.49638,
4,-0.50659,
5,-0.49511,
6,-0.49515,
7,-0.49788,
8,-0.50236,
9,-0.50524,
10,-0.50612,
11,-0.50803,
12,-0.5092,
13,-0.51015,
14,-0.5106,
15,-0.51054,
16,-0.50977,
17,-0.50983,
18,-0.50961,
19,-0.50979,
20,-0.5099,
21,-0.5102,
22,-0.51033,
23,-0.51045,
24,-0.5104,
25,-0.51025,
26,-0.51017,
27,-0.51017,
28,-0.51016,
29,-0.51019,
30,-0.51018,
31,-0.51019,
32,-0.51019,
33,-0.5102,
34,-0.51018,
35,-0.51017,
36,-0.51017,
37,-0.51017,
38,-0.51017,
39,-0.51017,
40,-0.51017,
41,-0.51017,
42,-0.51017,
43,-0.51017,
44,-0.51017,
44,-0.51017,
