"iter","cost",
0,-0.0010357,
1,-0.28018,
2,-0.49362,
3,-0.52519,
4,-0.5115,
5,-0.50826,
6,-0.50899,
7,-0.51704,
8,-0.51698,
9,-0.51882,
10,-0.51984,
11,-0.51968,
12,-0.52182,
13,-0.52122,
14,-0.52104,
15,-0.52114,
16,-0.52137,
17,-0.52235,
18,-0.52247,
19,-0.52275,
20,-0.52224,
21,-0.52206,
22,-0.52201,
23,-0.52201,
24,-0.52205,
25,-0.52204,
26,-0.52202,
27,-0.52202,
28,-0.522,
29,-0.52199,
30,-0.52199,
31,-0.52199,
32,-0.52199,
33,-0.52199,
34,-0.52199,
35,-0.52198,
36,-0.52198,
37,-0.52198,
38,-0.52198,
39,-0.52198,
40,-0.52198,
41,-0.52198,
42,-0.52198,
43,-0.52198,
44,-0.52198,
44,-0.52198,
