"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,-0.13867,6.7931,7.8159e-05,NaN,NaN,NaN,NaN,1,1.1323,0.3841,0.071869,
1,-0.23656,3.0414,0.087235,1,0,1.0532,1,1.4653,0.6549,1.0987e-16,1.26e-17,
2,-0.52193,0.28611,0.20552,1,0,0.71919,1,1.4653,0.46116,0,0,
3,-0.58043,0.079323,0.29855,1,0,0.38291,1,1.4653,0.43855,0,0,
4,-0.58655,0.023776,0.37712,1,0,0.13837,1,1.4653,0.44903,0,0,
5,-0.58743,0.0094732,0.45432,1,0,0.05689,1,1.4653,0.45253,0,0,
6,-0.58764,0.0049234,0.5325,1,0,0.029772,1,1.4653,0.45329,0,0,
7,-0.58772,0.0032241,0.61073,1,0,0.019548,1,1.4653,0.45329,0,0,
8,-0.58776,0.0024016,0.68878,1,0,0.014583,1,1.4653,0.4531,0,0,
9,-0.58778,0.0018727,0.76625,1,0,0.011383,1,1.4653,0.45287,0,0,
10,-0.5878,0.0014801,0.84383,1,0,0.0090028,1,1.4653,0.45266,0,0,
11,-0.5878,0.0011742,0.92086,1,0,0.0071461,1,1.4653,0.45247,0,0,
12,-0.58781,0.00093252,0.999,1,0,0.0056775,1,1.4653,0.45232,0,0,
13,-0.58781,0.00074077,1.0765,1,0,0.0045114,1,1.4653,0.45219,0,0,
14,-0.58782,0.0005884,1.1581,1,0,0.0035842,1,1.4653,0.45209,0,0,
15,-0.58782,0.00046717,1.2349,1,0,0.0028461,1,1.4653,0.45201,0,0,
16,-0.58782,0.0003716,1.3138,1,0,0.0022642,1,1.4653,0.45194,7.3597e-16,1.4719e-17,
17,-0.58782,0.00029521,1.3916,1,0,0.001799,1,1.4653,0.45189,2.3303e-15,4.6607e-17,
18,-0.58782,0.00023452,1.4697,1,0,0.0014292,1,1.4653,0.45184,0,0,
19,-0.58782,0.0001863,1.5479,1,0,0.0011354,1,1.4653,0.45181,0,0,
20,-0.58782,0.000148,1.6267,1,0,0.00090201,1,1.4653,0.45178,0,0,
21,-0.58782,0.00011756,1.704,1,0,0.00071655,1,1.4653,0.45176,0,0,
22,-0.58782,9.3386e-05,1.7824,1,0,0.00056921,1,1.4653,0.45175,0,0,
