"iter","cost",
0,-1.9187,
1,-5.9833,
2,-2.774,
3,-0.99548,
4,-0.60741,
5,-0.24434,
6,-0.19806,
7,-0.18826,
8,-0.18111,
9,-0.23804,
10,-0.32686,
11,-0.3136,
12,-0.42109,
13,-0.48036,
14,-0.47616,
15,-0.47729,
16,-0.47714,
17,-0.4768,
18,-0.53153,
19,-0.53407,
20,-0.53324,
21,-0.53351,
22,-0.53364,
23,-0.53362,
24,-0.53353,
25,-0.53354,
26,-0.53355,
27,-0.53359,
28,-0.5336,
29,-0.54757,
30,-0.54643,
31,-0.54636,
32,-0.54634,
33,-0.54634,
34,-0.54634,
35,-0.54634,
36,-0.54908,
37,-0.54895,
38,-0.54894,
39,-0.54894,
40,-0.54894,
40,-0.54894,
