"iter","cost",
0,-6.4366,
1,-6.6406,
2,-3.5892,
3,-1.2483,
4,-0.74068,
5,-0.52993,
6,-0.26103,
7,-0.25389,
8,-0.24087,
9,-0.3163,
10,-0.4108,
11,-0.39819,
12,-0.5023,
13,-0.5498,
14,-0.54697,
15,-0.5481,
16,-0.5478,
17,-0.54768,
18,-0.59438,
19,-0.60556,
20,-0.59888,
21,-0.60392,
22,-0.60409,
23,-0.60187,
24,-0.60241,
25,-0.60258,
26,-0.60261,
27,-0.60263,
28,-0.62167,
29,-0.61696,
30,-0.61625,
31,-0.61632,
32,-0.61622,
33,-0.61621,
34,-0.61621,
35,-0.61963,
36,-0.61882,
37,-0.61881,
38,-0.61881,
39,-0.61881,
40,-0.61881,
40,-0.61881,
