"iter","cost",
0,-16.5687,
1,-12.6543,
2,-8.27,
3,-3.5216,
4,-2.5147,
5,-2.2061,
6,-1.3718,
7,-0.45853,
8,-0.43177,
9,-0.2809,
10,-0.26713,
11,-0.24315,
12,-0.24087,
13,-0.24033,
14,-0.24085,
15,-0.24054,
16,-0.25338,
17,-0.27238,
18,-0.30857,
19,-0.50876,
20,-0.49316,
21,-0.53145,
22,-0.52524,
23,-0.5342,
24,-0.53463,
25,-0.5328,
26,-0.53564,
27,-0.53625,
28,-0.53623,
29,-0.53682,
30,-0.53728,
31,-0.53728,
32,-0.53736,
33,-0.53743,
34,-0.53762,
35,-0.53776,
36,-0.53795,
37,-0.53807,
38,-0.5382,
39,-0.53826,
40,-0.53832,
41,-0.53835,
42,-0.53839,
43,-0.53845,
44,-0.53853,
45,-0.5386,
46,-0.53866,
47,-0.53868,
48,-0.5387,
49,-0.5387,
50,-0.53872,
51,-0.53873,
52,-0.53876,
53,-0.53879,
54,-0.53881,
55,-0.53882,
56,-0.53883,
57,-0.53884,
58,-0.53884,
59,-0.53885,
60,-0.53887,
61,-0.53887,
62,-0.53888,
63,-0.53889,
64,-0.55806,
65,-0.55455,
66,-0.55489,
67,-0.55481,
68,-0.55488,
69,-0.5548,
70,-0.55479,
71,-0.55479,
72,-0.55481,
73,-0.55482,
74,-0.55483,
75,-0.55483,
76,-0.55483,
77,-0.55483,
78,-0.55484,
79,-0.55484,
80,-0.55484,
81,-0.55484,
81,-0.55484,
