"iter","time","maxviolation","meanviolation","cost",
0,0,0.19006,0.029133,0.08519,
1,0.019959,0,0,-0.1025,
2,0.023393,0,0,-0.1025,
3,0.16014,0,0,-0.42937,
4,0.35167,0.0042875,0.00013602,-0.55565,
5,0.41996,0.0002846,4.1282e-06,-0.55974,
6,0.46107,6.6156e-05,4.3184e-06,-0.56023,
7,0.47215,5.6585e-06,3.6231e-07,-0.56027,
8,0.48455,9.1512e-07,3.9269e-08,-0.56027,
9,0.50016,3.7339e-06,2.6915e-07,-0.56027,
10,0.517,3.7147e-06,1.9427e-07,-0.56027,
11,0.53332,2.4623e-07,1.3422e-08,-0.56027,
12,0.54509,2.9083e-06,1.7502e-07,-0.56027,
13,0.56339,3.657e-07,2.0061e-08,-0.56027,
14,0.58131,1.2108e-08,7.2932e-10,-0.56027,
15,0.59406,2.0041e-07,1.3754e-08,-0.56027,
16,0.60808,1.3477e-07,8.7071e-09,-0.56027,
17,0.62054,1.3399e-09,7.0129e-11,-0.56027,
18,0.6283,2.0588e-07,1.1692e-08,-0.56027,
19,0.64162,2.6692e-08,1.8515e-09,-0.56027,
20,0.65412,4.5331e-11,2.8489e-12,-0.56027,
21,0.66174,5.7274e-08,3.713e-09,-0.56027,
22,0.67687,4.7034e-08,2.541e-09,-0.56027,
23,0.69197,9.5396e-11,4.4805e-12,-0.56027,
24,0.69954,1.9266e-08,8.8706e-10,-0.56027,
25,0.71566,1.8032e-09,1.1742e-10,-0.56027,
26,0.73129,5.0598e-13,3.6006e-14,-0.56027,
27,0.74021,1.2817e-09,9.505e-11,-0.56027,
28,0.75708,7.828e-10,4.6518e-11,-0.56027,
29,0.77422,5.7782e-14,3.1996e-15,-0.56027,
30,0.78465,1.2724e-09,7.2339e-11,-0.56027,
