,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.8377e-05,-3
1,0.0,0.0,0.0,2.8377e-05,-2
2,0.0,0.0,0.0,2.8377e-05,-1
3,0.40236,0.25327,0.28906,0.40212,0
4,0.64495,0.25327,0.55506,1.5551,1
5,0.82719,0.25327,3.2449,2.4838,2
6,1.8955,0.25327,6.0551,3.2302,3
7,2.6695,0.33958,7.3822,4.1535,4
8,3.4052,0.50363,8.6455,4.8931,5
9,3.9917,0.62268,8.6455,5.6486,6
10,4.3735,1.3694,9.4469,6.3833,7
11,,,,7.3157,8
12,,,,8.0693,9
13,,,,8.839,10
14,,,,9.5843,11
15,,,,10.5371,12
16,,,,11.293,13
17,,,,12.0475,14
18,,,,13.1567,15
