,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.6999e-05,-3
1,0.0,0.0,0.0,3.6999e-05,-2
2,0.0,0.0,0.0,3.6999e-05,-1
3,0.48418999999999995,0.0,0.5894199999999999,0.13502999999999998,0
4,0.51626,0.041384,0.5894199999999999,0.75783,1
5,0.51626,0.041384,0.5894199999999999,0.9990600000000001,2
6,0.51626,0.041384,0.62846,1.0409,3
7,0.5227,0.071298,0.68061,1.0409,4
8,0.55253,0.092258,0.74667,1.0794,5
9,0.59137,0.12830999999999998,0.81633,1.0794,6
10,0.62808,108.7553,0.9158799999999999,1.197,7
11,,,,4.3759,8
12,,,,28.1221,9
