,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,0.00014480000000000002,-3
1,0.0,0.0,0.0,0.00014480000000000002,-2
2,0.0,0.0,0.0,0.00014480000000000002,-1
3,1.1098,0.0,0.65396,0.048708999999999995,0
4,2.5063,0.11020999999999999,0.65396,0.12982,1
5,4.53,0.11020999999999999,3.3842,0.28796,2
6,,0.20604,9.7566,0.28796,3
7,,0.5002300000000001,10.6649,0.32666999999999996,4
8,,0.83095,11.0591,0.36871,5
9,,1.0918,11.0591,0.44678,6
10,,,11.0727,0.48581,7
11,,,,3.3509,8
12,,,,3.3509,9
13,,,,73.6944,10
