"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
107,404.8244,1.0268,0.00055306,2.5098e-08,0.00055306,
108,404.8244,1.0354,0.00054994,2.0181e-08,0.00054994,
109,404.8244,1.0446,0.00026969,2.1226e-08,0.00026969,
110,404.8244,1.0533,0.0002395,1.9281e-08,0.0002395,
111,404.8244,1.0613,0.00021048,1.253e-08,0.00021048,
112,404.8244,1.0705,0.00019918,9.1086e-09,0.00019918,
113,404.8244,1.0787,0.00022346,9.5018e-09,0.00022346,
114,404.8244,1.0869,0.0001358,9.6974e-09,0.0001358,
115,404.8244,1.0949,0.0001594,4.1291e-09,0.0001594,
116,404.8244,1.1033,0.00021921,3.9027e-09,0.00021921,
117,404.8244,1.1119,0.00014186,2.0931e-09,0.00014186,
118,404.8244,1.12,0.00017925,1.9608e-09,0.00017925,
119,404.8244,1.128,7.4149e-05,1.5518e-09,7.4149e-05,
120,404.8244,1.1369,6.1835e-05,9.0612e-10,6.1835e-05,
121,404.8244,1.1449,3.3555e-05,1.2361e-10,3.3555e-05,
122,404.8244,1.1532,2.4535e-05,1.1795e-10,2.4535e-05,
123,404.8244,1.1612,1.4712e-05,5.9361e-11,1.4712e-05,
124,404.8244,1.1692,1.8936e-05,8.4956e-11,1.8936e-05,
125,404.8244,1.1773,7.4733e-06,4.5279e-11,7.4733e-06,
126,404.8244,1.1854,5.8729e-06,1.1135e-11,5.8729e-06,
127,404.8244,1.1944,3.2455e-06,7.1128e-12,3.2455e-06,
128,404.8244,1.2025,2.9294e-06,1.6911e-12,2.9294e-06,
129,404.8244,1.2109,2.275e-06,1.0081e-12,2.275e-06,
130,404.8244,1.219,2.0516e-06,3.3196e-13,2.0516e-06,
131,404.8244,1.2274,7.0193e-07,2.2204e-13,7.0193e-07,
132,404.8244,1.2355,1.1158e-06,1.5743e-13,1.1158e-06,
133,404.8244,1.2436,4.0341e-07,7.6605e-14,4.0341e-07,
134,404.8244,1.2518,8.15e-07,7.8604e-14,8.15e-07,
135,404.8244,1.2608,1.458e-07,4.6629e-14,1.458e-07,
136,404.8244,1.2688,3.0992e-07,1.2212e-14,3.0992e-07,
137,404.8244,1.2771,4.2885e-08,7.3275e-15,4.2885e-08,
138,404.8244,1.2851,6.9641e-08,1.1102e-15,6.9641e-08,
139,404.8244,1.2935,1.592e-08,1.9984e-15,1.592e-08,
140,404.8244,1.3026,1.1886e-08,4.4409e-16,1.1886e-08,
141,404.8244,1.3116,8.1011e-09,8.8818e-16,8.1011e-09,
142,404.8244,1.3203,8.5027e-09,4.4409e-16,8.5027e-09,
143,404.8244,1.3486,2.8242e-09,4.4409e-16,2.8242e-09,
144,404.8244,1.3601,6.4003e-09,4.4409e-16,6.4003e-09,
145,404.8244,1.3849,6.1352e-09,4.4409e-16,6.1352e-09,
146,404.8244,1.4127,4.8201e-09,2.2204e-16,4.8201e-09,
147,404.8244,1.4468,4.7466e-09,4.4409e-16,4.7466e-09,
148,404.8244,2.4509,4.7466e-09,4.4409e-16,4.7466e-09,
149,404.8244,2.4611,4.7466e-09,4.4409e-16,4.7466e-09,
150,404.8244,2.4773,4.7466e-09,4.4409e-16,4.7466e-09,
151,404.8244,2.4858,4.7466e-09,4.4409e-16,4.7466e-09,
152,404.8244,2.5029,4.7466e-09,4.4409e-16,4.7466e-09,
153,404.8244,2.5147,4.7466e-09,4.4409e-16,4.7466e-09,
154,404.8244,2.5321,4.7466e-09,4.4409e-16,4.7466e-09,
155,404.8244,2.5415,4.7466e-09,4.4409e-16,4.7466e-09,
156,404.8244,2.5548,4.7466e-09,4.4409e-16,4.7466e-09,
157,404.8244,2.5632,4.7466e-09,4.4409e-16,4.7466e-09,
158,404.8244,2.5764,4.7466e-09,4.4409e-16,4.7466e-09,
159,404.8244,2.5857,4.7466e-09,4.4409e-16,4.7466e-09,
160,404.8244,2.5973,4.7466e-09,4.4409e-16,4.7466e-09,
161,404.8244,2.6067,4.7466e-09,4.4409e-16,4.7466e-09,
162,404.8244,2.6201,4.7466e-09,4.4409e-16,4.7466e-09,
163,404.8244,2.634,4.7466e-09,4.4409e-16,4.7466e-09,
164,404.8244,2.6469,4.7466e-09,4.4409e-16,4.7466e-09,
165,404.8244,2.6562,4.7466e-09,4.4409e-16,4.7466e-09,
166,404.8244,2.6681,4.7466e-09,4.4409e-16,4.7466e-09,
167,404.8244,2.6784,4.7466e-09,4.4409e-16,4.7466e-09,
168,404.8244,2.6901,4.7466e-09,4.4409e-16,4.7466e-09,
169,404.8244,2.6997,4.7466e-09,4.4409e-16,4.7466e-09,
170,404.8244,2.714,4.7466e-09,4.4409e-16,4.7466e-09,
171,404.8244,2.7239,4.7466e-09,4.4409e-16,4.7466e-09,
172,404.8244,2.736,4.7466e-09,4.4409e-16,4.7466e-09,
173,404.8244,2.7466,4.7466e-09,4.4409e-16,4.7466e-09,
174,404.8244,2.7587,4.7466e-09,4.4409e-16,4.7466e-09,
175,404.8244,2.7682,4.7466e-09,4.4409e-16,4.7466e-09,
176,404.8244,2.7801,4.7466e-09,4.4409e-16,4.7466e-09,
177,404.8244,2.7896,4.7466e-09,4.4409e-16,4.7466e-09,
178,404.8244,2.8013,4.7466e-09,4.4409e-16,4.7466e-09,
179,404.8244,2.8118,4.7466e-09,4.4409e-16,4.7466e-09,
180,404.8244,2.8238,4.7466e-09,4.4409e-16,4.7466e-09,
181,404.8244,2.8332,4.7466e-09,4.4409e-16,4.7466e-09,
182,404.8244,2.8449,4.7466e-09,4.4409e-16,4.7466e-09,
183,404.8244,2.8544,4.7466e-09,4.4409e-16,4.7466e-09,
184,404.8244,2.8663,4.7466e-09,4.4409e-16,4.7466e-09,
185,404.8244,2.8757,4.7466e-09,4.4409e-16,4.7466e-09,
186,404.8244,2.8879,4.7466e-09,4.4409e-16,4.7466e-09,
187,404.8244,2.8981,4.7466e-09,4.4409e-16,4.7466e-09,
188,404.8244,2.91,4.7466e-09,4.4409e-16,4.7466e-09,
189,404.8244,2.9195,4.7466e-09,4.4409e-16,4.7466e-09,
190,404.8244,2.9313,4.7466e-09,4.4409e-16,4.7466e-09,
191,404.8244,2.9407,4.7466e-09,4.4409e-16,4.7466e-09,
192,404.8244,2.9526,4.7466e-09,4.4409e-16,4.7466e-09,
193,404.8244,2.9621,4.7466e-09,4.4409e-16,4.7466e-09,
194,404.8244,2.9739,4.7466e-09,4.4409e-16,4.7466e-09,
195,404.8244,2.9833,4.7466e-09,4.4409e-16,4.7466e-09,
196,404.8244,2.9953,4.7466e-09,4.4409e-16,4.7466e-09,
197,404.8244,3.0046,4.7466e-09,4.4409e-16,4.7466e-09,
198,404.8244,3.0168,4.7466e-09,4.4409e-16,4.7466e-09,
199,404.8244,3.0263,4.7466e-09,4.4409e-16,4.7466e-09,
200,404.8244,3.0392,4.7466e-09,4.4409e-16,4.7466e-09,
201,404.8244,3.049,4.7466e-09,4.4409e-16,4.7466e-09,
202,404.8244,3.0609,4.7466e-09,4.4409e-16,4.7466e-09,
203,404.8244,3.0704,4.7466e-09,4.4409e-16,4.7466e-09,
204,404.8244,3.082,4.7466e-09,4.4409e-16,4.7466e-09,
205,404.8244,3.0915,4.7466e-09,4.4409e-16,4.7466e-09,
206,404.8244,3.1032,4.7466e-09,4.4409e-16,4.7466e-09,
207,404.8244,3.1126,4.7466e-09,4.4409e-16,4.7466e-09,
208,404.8244,3.1245,4.7466e-09,4.4409e-16,4.7466e-09,
209,404.8244,3.1339,4.7466e-09,4.4409e-16,4.7466e-09,
210,404.8244,3.1459,4.7466e-09,4.4409e-16,4.7466e-09,
211,404.8244,3.1555,4.7466e-09,4.4409e-16,4.7466e-09,
212,404.8244,3.1672,4.7466e-09,4.4409e-16,4.7466e-09,
213,404.8244,3.1764,4.7466e-09,4.4409e-16,4.7466e-09,
214,404.8244,3.1887,4.7466e-09,4.4409e-16,4.7466e-09,
215,404.8244,3.1982,4.7466e-09,4.4409e-16,4.7466e-09,
216,404.8244,3.2098,4.7466e-09,4.4409e-16,4.7466e-09,
217,404.8244,3.2191,4.7466e-09,4.4409e-16,4.7466e-09,
218,404.8244,3.2309,4.7466e-09,4.4409e-16,4.7466e-09,
219,404.8244,3.2406,4.7466e-09,4.4409e-16,4.7466e-09,
220,404.8244,3.2577,4.7466e-09,4.4409e-16,4.7466e-09,
221,404.8244,3.2672,4.7466e-09,4.4409e-16,4.7466e-09,
222,404.8244,3.2798,4.7466e-09,4.4409e-16,4.7466e-09,
223,404.8244,3.2892,4.7466e-09,4.4409e-16,4.7466e-09,
224,404.8244,3.3008,4.7466e-09,4.4409e-16,4.7466e-09,
225,404.8244,3.3105,4.7466e-09,4.4409e-16,4.7466e-09,
226,404.8244,3.3255,4.7466e-09,4.4409e-16,4.7466e-09,
227,404.8244,3.3357,4.7466e-09,4.4409e-16,4.7466e-09,
228,404.8244,3.3473,4.7466e-09,4.4409e-16,4.7466e-09,
229,404.8244,3.3567,4.7466e-09,4.4409e-16,4.7466e-09,
230,404.8244,3.3686,4.7466e-09,4.4409e-16,4.7466e-09,
231,404.8244,3.378,4.7466e-09,4.4409e-16,4.7466e-09,
232,404.8244,3.3897,4.7466e-09,4.4409e-16,4.7466e-09,
233,404.8244,3.3993,4.7466e-09,4.4409e-16,4.7466e-09,
234,404.8244,3.4109,4.7466e-09,4.4409e-16,4.7466e-09,
235,404.8244,3.4205,4.7466e-09,4.4409e-16,4.7466e-09,
236,404.8244,3.4324,4.7466e-09,4.4409e-16,4.7466e-09,
237,404.8244,3.4419,4.7466e-09,4.4409e-16,4.7466e-09,
238,404.8244,3.454,4.7466e-09,4.4409e-16,4.7466e-09,
239,404.8244,3.4636,4.7466e-09,4.4409e-16,4.7466e-09,
240,404.8244,3.4764,4.7466e-09,4.4409e-16,4.7466e-09,
241,404.8244,3.4864,4.7466e-09,4.4409e-16,4.7466e-09,
242,404.8244,3.4983,4.7466e-09,4.4409e-16,4.7466e-09,
243,404.8244,3.5078,4.7466e-09,4.4409e-16,4.7466e-09,
244,404.8244,3.5195,4.7466e-09,4.4409e-16,4.7466e-09,
245,404.8244,3.5292,4.7466e-09,4.4409e-16,4.7466e-09,
246,404.8244,3.5415,4.7466e-09,4.4409e-16,4.7466e-09,
247,404.8244,3.551,4.7466e-09,4.4409e-16,4.7466e-09,
248,404.8244,3.5629,4.7466e-09,4.4409e-16,4.7466e-09,
249,404.8244,3.5725,4.7466e-09,4.4409e-16,4.7466e-09,
250,404.8244,3.5846,4.7466e-09,4.4409e-16,4.7466e-09,
251,404.8244,3.5939,4.7466e-09,4.4409e-16,4.7466e-09,
252,404.8244,3.6056,4.7466e-09,4.4409e-16,4.7466e-09,
253,404.8244,3.6149,4.7466e-09,4.4409e-16,4.7466e-09,
254,404.8244,3.6267,4.7466e-09,4.4409e-16,4.7466e-09,
255,404.8244,3.6363,4.7466e-09,4.4409e-16,4.7466e-09,
256,404.8244,3.6491,4.7466e-09,4.4409e-16,4.7466e-09,
257,404.8244,3.6585,4.7466e-09,4.4409e-16,4.7466e-09,
258,404.8244,3.6705,4.7466e-09,4.4409e-16,4.7466e-09,
259,404.8244,3.6807,4.7466e-09,4.4409e-16,4.7466e-09,
260,404.8244,3.6927,4.7466e-09,4.4409e-16,4.7466e-09,
261,404.8244,3.7023,4.7466e-09,4.4409e-16,4.7466e-09,
262,404.8244,3.7142,4.7466e-09,4.4409e-16,4.7466e-09,
263,404.8244,3.7239,4.7466e-09,4.4409e-16,4.7466e-09,
264,404.8244,3.7362,4.7466e-09,4.4409e-16,4.7466e-09,
265,404.8244,3.7465,4.7466e-09,4.4409e-16,4.7466e-09,
266,404.8244,3.7585,4.7466e-09,4.4409e-16,4.7466e-09,
267,404.8244,3.7678,4.7466e-09,4.4409e-16,4.7466e-09,
268,404.8244,3.7807,4.7466e-09,4.4409e-16,4.7466e-09,
269,404.8244,3.7902,4.7466e-09,4.4409e-16,4.7466e-09,
270,404.8244,3.8021,4.7466e-09,4.4409e-16,4.7466e-09,
271,404.8244,3.8125,4.7466e-09,4.4409e-16,4.7466e-09,
272,404.8244,3.8254,4.7466e-09,4.4409e-16,4.7466e-09,
273,404.8244,3.8349,4.7466e-09,4.4409e-16,4.7466e-09,
274,404.8244,3.8467,4.7466e-09,4.4409e-16,4.7466e-09,
275,404.8244,3.8563,4.7466e-09,4.4409e-16,4.7466e-09,
276,404.8244,3.8682,4.7466e-09,4.4409e-16,4.7466e-09,
277,404.8244,3.8777,4.7466e-09,4.4409e-16,4.7466e-09,
278,404.8244,3.8899,4.7466e-09,4.4409e-16,4.7466e-09,
279,404.8244,3.8995,4.7466e-09,4.4409e-16,4.7466e-09,
280,404.8244,3.9113,4.7466e-09,4.4409e-16,4.7466e-09,
281,404.8244,3.9209,4.7466e-09,4.4409e-16,4.7466e-09,
282,404.8244,3.9329,4.7466e-09,4.4409e-16,4.7466e-09,
283,404.8244,3.9423,4.7466e-09,4.4409e-16,4.7466e-09,
284,404.8244,3.9541,4.7466e-09,4.4409e-16,4.7466e-09,
285,404.8244,3.9638,4.7466e-09,4.4409e-16,4.7466e-09,
286,404.8244,3.977,4.7466e-09,4.4409e-16,4.7466e-09,
287,404.8244,3.987,4.7466e-09,4.4409e-16,4.7466e-09,
288,404.8244,3.999,4.7466e-09,4.4409e-16,4.7466e-09,
289,404.8244,4.0087,4.7466e-09,4.4409e-16,4.7466e-09,
290,404.8244,4.0205,4.7466e-09,4.4409e-16,4.7466e-09,
291,404.8244,4.0301,4.7466e-09,4.4409e-16,4.7466e-09,
292,404.8244,4.042,4.7466e-09,4.4409e-16,4.7466e-09,
293,404.8244,4.0514,4.7466e-09,4.4409e-16,4.7466e-09,
294,404.8244,4.0637,4.7466e-09,4.4409e-16,4.7466e-09,
295,404.8244,4.0733,4.7466e-09,4.4409e-16,4.7466e-09,
296,404.8244,4.0851,4.7466e-09,4.4409e-16,4.7466e-09,
297,404.8244,4.0944,4.7466e-09,4.4409e-16,4.7466e-09,
298,404.8244,4.1064,4.7466e-09,4.4409e-16,4.7466e-09,
299,404.8244,4.1159,4.7466e-09,4.4409e-16,4.7466e-09,
300,404.8244,4.1277,4.7466e-09,4.4409e-16,4.7466e-09,
301,404.8244,4.1373,4.7466e-09,4.4409e-16,4.7466e-09,
