"iter","cost",
0,-1.2411,
1,-3.5636,
2,-1.6652,
3,-1.011,
4,-0.42487,
5,-0.24843,
6,-0.19708,
7,-0.18398,
8,-0.18569,
9,-0.24805,
10,-0.32805,
11,-0.32497,
12,-0.42997,
13,-0.50474,
14,-0.49647,
15,-0.49991,
16,-0.49902,
17,-0.49834,
18,-0.55931,
19,-0.55774,
20,-0.55868,
21,-0.55858,
22,-0.55808,
23,-0.55797,
24,-0.55797,
25,-0.57256,
26,-0.57068,
27,-0.57052,
28,-0.5705,
29,-0.57049,
30,-0.57049,
31,-0.57049,
32,-0.57049,
33,-0.57325,
34,-0.57296,
35,-0.57294,
36,-0.57294,
37,-0.57294,
38,-0.57294,
39,-0.57294,
40,-0.57346,
41,-0.57342,
42,-0.57342,
43,-0.57342,
44,-0.57342,
45,-0.57351,
46,-0.57351,
47,-0.57351,
48,-0.57351,
49,-0.57351,
50,-0.57353,
51,-0.57353,
52,-0.57353,
52,-0.57353,
