"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,-0.02143,7.142,6.4566e-05,NaN,NaN,NaN,NaN,1,7.1788,0.33934,0.057588,
1,-0.3772,1.2031,0.15128,1,0,1.5328,1,1,1.2031,5.6146e-12,4.0459e-13,
2,-0.51512,0.233,0.23172,1,0,0.92799,1,1,0.233,1.6154e-12,3.633e-14,
3,-0.53972,0.043421,0.31485,1,0,0.34423,1,1,0.043421,6.3156e-13,3.635e-14,
4,-0.54032,0.0083891,0.39739,1,0,0.044302,1,1,0.0083891,1.3502e-13,2.7005e-15,
5,-0.54037,0.0027005,0.47776,1,0,0.012849,1,1,0.0027005,1.0478e-13,2.6572e-15,
6,-0.54037,0.0008988,0.55872,1,0,0.0043517,1,1,0.0008988,0,0,
7,-0.54037,0.00030065,0.63953,1,0,0.001469,1,1,0.00030065,1.2408e-12,5.2265e-14,
8,-0.54037,0.00010067,0.71997,1,0,0.00049349,1,1,0.00010067,9.522e-13,4.8291e-14,
9,-0.54037,3.3717e-05,0.8005,1,0,0.00016547,1,1,3.3717e-05,0,0,
10,-0.54037,1.1294e-05,0.91367,1,0,5.5444e-05,1,1,1.1294e-05,5.062e-15,1.0124e-16,
11,-0.54037,3.7832e-06,1.0238,1,0,1.8574e-05,1,1,3.7832e-06,5.0462e-13,1.5723e-14,
12,-0.54037,1.2673e-06,1.1124,1,0,6.2222e-06,1,1,1.2673e-06,3.3846e-13,8.9386e-15,
13,-0.54037,4.2451e-07,1.1974,1,0,2.0843e-06,1,1,4.2451e-07,1.5417e-13,3.0835e-15,
14,-0.54037,1.422e-07,1.2788,1,0,6.9821e-07,1,1,1.422e-07,6.2651e-13,2.5207e-14,
15,-0.54037,4.7635e-08,1.3628,1,0,2.3388e-07,1,1,4.7635e-08,2.4855e-13,6.7975e-15,
16,-0.54037,1.5956e-08,1.4546,1,0,7.8346e-08,1,1,1.5956e-08,6.1855e-13,2.0815e-14,
17,-0.54037,5.3468e-09,1.5363,1,0,2.6247e-08,1,1,5.3468e-09,7.0301e-13,2.9055e-14,
