"iter","cost",
0,-2.3187,
1,-3.5449,
2,-2.5556,
3,-1.7069,
4,-0.7379,
5,-0.59909,
6,-0.56283,
7,-0.66644,
8,-0.69813,
9,-0.69612,
10,-0.74888,
11,-0.75795,
12,-0.7567,
13,-0.7559,
14,-0.75579,
15,-0.77175,
16,-0.77063,
17,-0.77032,
18,-0.77031,
19,-0.7735,
20,-0.77318,
21,-0.77318,
22,-0.77317,
23,-0.77377,
24,-0.77375,
25,-0.77374,
26,-0.77374,
27,-0.77386,
28,-0.77386,
29,-0.77386,
30,-0.77386,
31,-0.77386,
32,-0.77388,
33,-0.77388,
34,-0.77388,
35,-0.77388,
36,-0.77388,
37,-0.77388,
38,-0.77388,
39,-0.77388,
40,-0.77388,
40,-0.77388,
