"iter","cost",
0,-3.9516,
1,-4.0176,
2,-1.6929,
3,-0.86451,
4,-0.5822,
5,-0.45912,
6,-0.44073,
7,-0.5337,
8,-0.56772,
9,-0.56673,
10,-0.56519,
11,-0.6152,
12,-0.62673,
13,-0.6242,
14,-0.62391,
15,-0.63925,
16,-0.63797,
17,-0.63798,
18,-0.63794,
19,-0.63794,
20,-0.64087,
21,-0.64081,
22,-0.6408,
23,-0.64078,
24,-0.64078,
25,-0.64139,
26,-0.64137,
27,-0.64136,
28,-0.64136,
29,-0.64148,
30,-0.64148,
31,-0.64148,
32,-0.6415,
33,-0.6415,
34,-0.6415,
35,-0.6415,
36,-0.64151,
37,-0.64151,
37,-0.64151,
