"iter","cost",
0,-1.7643,
1,-2.1442,
2,-0.71863,
3,-0.43154,
4,-0.29757,
5,-0.16692,
6,-0.17624,
7,-0.26695,
8,-0.36769,
9,-0.35094,
10,-0.43508,
11,-0.47192,
12,-0.50172,
13,-0.51363,
14,-0.60075,
15,-0.55438,
16,-0.55534,
17,-0.5592,
18,-0.56077,
19,-0.56056,
20,-0.56021,
21,-0.56013,
22,-0.56027,
23,-0.60725,
24,-0.60649,
25,-0.60126,
26,-0.60108,
27,-0.60964,
28,-0.60928,
29,-0.60926,
30,-0.60926,
31,-0.60926,
32,-0.61094,
33,-0.61091,
34,-0.61091,
35,-0.61091,
36,-0.61125,
37,-0.61125,
38,-0.61125,
39,-0.61131,
40,-0.61131,
41,-0.61133,
42,-0.61133,
42,-0.61133,
