"iter","cost",
0,-1.9296,
1,-2.6343,
2,-1.1234,
3,-0.41012,
4,-0.31008,
5,-0.24262,
6,-0.22626,
7,-0.36101,
8,-0.44555,
9,-0.43787,
10,-0.53277,
11,-0.55069,
12,-0.54147,
13,-0.54461,
14,-0.54527,
15,-0.54638,
16,-0.548,
17,-0.54961,
18,-0.55004,
19,-0.55072,
20,-0.55095,
21,-0.55118,
22,-0.59224,
23,-0.58279,
24,-0.58273,
25,-0.58224,
26,-0.58207,
27,-0.58202,
28,-0.58202,
29,-0.5884,
30,-0.58817,
31,-0.58795,
32,-0.58795,
33,-0.58923,
34,-0.58913,
35,-0.58912,
36,-0.58936,
37,-0.58935,
38,-0.58935,
39,-0.58935,
40,-0.5894,
41,-0.5894,
42,-0.5894,
43,-0.58941,
44,-0.58941,
44,-0.58941,
