"iter","cost",
0,0.19798,
1,-0.82402,
2,-1.0918,
3,-0.60229,
4,-0.38899,
5,-0.38914,
6,-0.36999,
7,-0.46054,
8,-0.53403,
9,-0.51822,
10,-0.59361,
11,-0.60927,
12,-0.60656,
13,-0.61482,
14,-0.60902,
15,-0.60815,
16,-0.60797,
17,-0.64555,
18,-0.63625,
19,-0.63365,
20,-0.63355,
21,-0.6335,
22,-0.64114,
23,-0.63893,
24,-0.63878,
25,-0.63877,
26,-0.63877,
27,-0.64003,
28,-0.63981,
29,-0.63981,
30,-0.64002,
31,-0.64001,
32,-0.64001,
33,-0.64005,
34,-0.64005,
35,-0.64005,
36,-0.64006,
37,-0.64006,
37,-0.64006,
