"iter","cost",
0,-2.9149,
1,-4.707,
2,-2.4329,
3,-1.0482,
4,-0.48059,
5,-0.21476,
6,-0.22435,
7,-0.20454,
8,-0.2038,
9,-0.27772,
10,-0.41343,
11,-0.38422,
12,-0.53541,
13,-0.63151,
14,-0.61416,
15,-0.61323,
16,-0.61189,
17,-0.6114,
18,-0.68375,
19,-0.67551,
20,-0.67545,
21,-0.67534,
22,-0.67524,
23,-0.68855,
24,-0.6879,
25,-0.6878,
26,-0.68778,
27,-0.68778,
28,-0.68778,
29,-0.69034,
30,-0.69024,
31,-0.69023,
32,-0.69023,
33,-0.69023,
34,-0.69072,
35,-0.69071,
36,-0.69071,
37,-0.69071,
38,-0.69071,
39,-0.69081,
40,-0.69081,
41,-0.69081,
42,-0.69081,
43,-0.69081,
44,-0.69083,
45,-0.69083,
46,-0.69083,
46,-0.69083,
