method,nrep,time,iter
LQH,1,57.2319,3773
LSE,1,8.3524,298
Riemannian_SQP,1,2.5608,31
LQH,2,1.0771,20
LSE,2,3.0047,59
Riemannian_SQP,2,2.7137,34
LQH,3,0.37181,19
LSE,3,3.1607,19
Riemannian_SQP,3,1.5819999999999999,21
ALM,4,2.6796,19
LQH,4,0.78983,19
LSE,4,3.0114,23
Riemannian_SQP,4,3.0617,40
ALM,5,3.2763,21
LQH,5,21.6939,1410
LSE,5,2.5168,20
Riemannian_SQP,5,1.2802,16
ALM,6,3.6376,18
LQH,6,6.3571,230
Riemannian_SQP,6,2.3005,30
ALM,7,2.3548,21
LQH,7,0.26768000000000003,17
LSE,7,12.0413,404
Riemannian_SQP,7,2.3359,30
ALM,8,1.5826,18
LQH,8,38.1793,2592
Riemannian_SQP,8,1.3398,17
LQH,9,18.3486,1212
LSE,9,1.8426,20
Riemannian_SQP,9,2.2498,29
ALM,10,1.5472,19
LQH,10,0.49975,23
LSE,10,3.4824,20
Riemannian_SQP,10,6.9955,83
ALM,11,1.0474,20
LQH,11,17.0955,1049
Riemannian_SQP,11,0.74942,10
ALM,12,2.0334,17
LQH,12,0.44075,22
LSE,12,16.7069,534
Riemannian_SQP,12,1.6515,21
LSE,13,4.0926,22
Riemannian_SQP,13,3.0071,39
LQH,14,7.9615,507
LSE,14,6.2683,152
Riemannian_SQP,14,3.6653,46
ALM,15,1.7971,21
LQH,15,0.35718,20
LSE,15,6.9910000000000005,26
Riemannian_SQP,15,1.4097,18
ALM,16,1.3327,21
LQH,16,0.5606,19
LSE,16,5.6263,95
Riemannian_SQP,16,1.2928,16
LQH,17,2.5389,103
LSE,17,4.513,18
Riemannian_SQP,17,2.4751,32
ALM,18,3.3934,17
LQH,18,0.51964,22
LSE,18,4.02,75
Riemannian_SQP,18,2.8193,35
ALM,19,1.0961,22
LQH,19,2.8248,178
Riemannian_SQP,19,3.5584,46
ALM,20,1.2155,19
LSE,20,3.4004,22
Riemannian_SQP,20,1.6561,21
