method,nrep,time,iter
ALM,1,0.88259,22
LQH,1,0.78489,56
LSE,1,1.11,19
Riemannian_SQP,1,2.6094,55
LQH,2,37.4197,2920
LSE,2,10.6548,564
Riemannian_SQP,2,0.6008600000000001,14
LQH,3,37.8916,2957
LSE,3,1.1107,24
Riemannian_SQP,3,0.9532,21
ALM,4,1.7032,19
LQH,4,31.7832,2442
LSE,4,3.9582,117
Riemannian_SQP,4,0.54914,12
ALM,5,0.71105,20
LQH,5,1.0195,83
LSE,5,1.2498,17
Riemannian_SQP,5,0.9179700000000001,21
ALM,6,0.9994799999999999,15
LSE,6,4.8686,237
Riemannian_SQP,6,1.1192,26
ALM,7,1.7191,20
LQH,7,10.0663,763
LSE,7,1.2851,20
Riemannian_SQP,7,1.5023,30
ALM,8,0.9031299999999999,20
LQH,8,4.0271,317
LSE,8,1.6701,23
Riemannian_SQP,8,1.3759,25
LQH,9,29.2158,2262
LSE,9,16.2363,859
Riemannian_SQP,9,1.2254,28
LQH,10,0.20774,21
LSE,10,1.1572,21
Riemannian_SQP,10,0.46748,11
ALM,11,0.8588399999999999,21
LQH,11,0.22953,21
LSE,11,1.2475,20
Riemannian_SQP,11,1.1066,27
ALM,12,1.4895,13
LQH,12,0.15147,19
LSE,12,2.9587,79
Riemannian_SQP,12,1.1252,28
ALM,13,0.73798,20
LQH,13,29.6592,2313
LSE,13,1.3758,18
Riemannian_SQP,13,2.2272,50
LQH,14,0.41806000000000004,27
LSE,14,1.2445,18
Riemannian_SQP,14,0.73215,15
ALM,15,0.94075,16
LQH,15,0.24486,21
LSE,15,13.9919,763
Riemannian_SQP,15,1.2071,28
ALM,16,0.7933600000000001,20
LQH,16,0.19744,19
LSE,16,58.2635,3385
Riemannian_SQP,16,0.40531,10
ALM,17,0.7396,16
LQH,17,0.36988000000000004,24
LSE,17,2.8427,19
Riemannian_SQP,17,0.5784600000000001,13
ALM,18,0.7287399999999999,22
LQH,18,8.8614,689
LSE,18,1.2409999999999999,16
Riemannian_SQP,18,1.5214,34
ALM,19,0.75373,21
LQH,19,0.18825,20
LSE,19,3.9059,186
Riemannian_SQP,19,2.4697,52
ALM,20,0.81565,21
LQH,20,0.25823,21
LSE,20,1.6472,30
Riemannian_SQP,20,0.8112699999999999,18
