method,nrep,time,iter
LQH,1,0.8237899999999999,21
LSE,1,8.8438,22
Riemannian_SQP,1,1.2215,22
ALM,2,4.0163,30
LQH,2,0.7759999999999999,20
LSE,2,4.6035,18
Riemannian_SQP,2,0.82488,21
LQH,3,18.5143,1308
LSE,3,1.6962,18
Riemannian_SQP,3,0.44582,11
LQH,4,0.58602,18
LSE,4,1.0919,18
Riemannian_SQP,4,0.32268,8
ALM,5,0.54332,21
LQH,5,0.29053,20
LSE,5,49.5327,2819
Riemannian_SQP,5,0.39386,10
LQH,6,2.325,145
Riemannian_SQP,6,0.34355,9
ALM,7,1.2928,23
LSE,7,7.7607,278
Riemannian_SQP,7,0.4593,11
ALM,8,1.7579,21
LQH,8,41.3116,2997
Riemannian_SQP,8,6.4881,154
ALM,9,3.6119,21
LQH,9,53.1041,3867
LSE,9,11.0166,552
Riemannian_SQP,9,0.34985,9
ALM,10,1.0490000000000002,20
LQH,10,0.56858,20
LSE,10,12.2228,72
Riemannian_SQP,10,0.85331,20
LQH,11,5.1566,18
Riemannian_SQP,11,1.2384,26
ALM,12,4.9206,29
LQH,12,26.9416,1980
LSE,12,12.9848,696
Riemannian_SQP,12,0.7399399999999999,17
ALM,13,1.2507,19
LQH,13,0.61007,18
LSE,13,11.4043,527
Riemannian_SQP,13,0.8679399999999999,20
ALM,14,1.8964,18
LQH,14,0.40299999999999997,20
Riemannian_SQP,14,6.2642,125
ALM,15,0.9933700000000001,21
LQH,15,39.7301,2895
LSE,15,3.7334,21
Riemannian_SQP,15,3.0174,69
LSE,16,3.7094,80
Riemannian_SQP,16,0.36178,9
ALM,17,2.4315,20
LQH,17,8.5461,517
Riemannian_SQP,17,0.9321299999999999,22
LQH,18,0.35302,20
LSE,18,4.1137,112
Riemannian_SQP,18,0.5352899999999999,13
ALM,19,1.8545,21
LQH,19,0.53456,20
LSE,19,0.99729,19
Riemannian_SQP,19,0.35126999999999997,9
ALM,20,1.3675,18
LQH,20,1.16,21
Riemannian_SQP,20,0.38213,10
